,01 vs 02,01 vs 18,04 vs 18,00 vs 02,04 vs 08,08 vs 18,01 vs 08,02 vs 18,02 vs 04,00 vs 01,00 vs 08,02 vs 08,01 vs 04,00 vs 18,00 vs 04
AC020661.2,-0.2493325,0.34366187,-0.1537709,0.6463401,-0.08867393,-0.08776678,0.41949263,0.5228392,0.7405047,0.89450204,1.2773203,0.6600154,0.58242,1.2072368,1.3679494
SCUBE2,-0.13483839,-0.16142304,0.08728271,-0.34017846,0.042557824,0.04428257,-0.21859756,-0.025540063,-0.111950815,-0.21577014,-0.4287128,-0.07343341,-0.2617897,-0.39448848,-0.46232846
TRIM59,0.02971064,0.21982217,0.22678603,-0.09169569,0.14160387,0.07980011,0.110996544,0.17141254,-0.051526386,-0.1085612,0.023285747,0.066353336,-0.0031512643,0.12028603,-0.123791136
DDIT3,0.02039102,-0.069361,-0.18042852,0.17956187,-0.106276736,-0.08056796,-0.018886242,-0.11403517,0.08796375,0.16325402,0.15809539,-0.020565964,0.11519447,0.058144256,0.26129326
C5orf38,-0.09018143,-0.5089306,-0.48622823,0.12691475,-0.25126964,-0.23883937,-0.25234875,-0.43979126,0.048184935,0.21373399,-0.07134793,-0.19162215,-0.02000383,-0.30614284,0.17023484
LINC02551,-0.1861606,0.66665256,0.21973547,0.7193237,0.17196271,0.10219799,0.66117316,0.8126962,0.57243055,0.88499373,1.4511322,0.73904544,0.44826224,1.5906196,1.3147608
LINC00839,0.0493422,0.15914117,-0.057438903,0.11759876,0.014858879,-0.050221745,0.21565878,0.08810403,0.15175672,0.06687608,0.2906405,0.18081467,0.2041351,0.24166992,0.28565195
AC005393.1,-0.023739448,0.48006138,0.90441006,-0.7435428,0.33525375,0.5865271,-0.1364895,0.5408171,-0.39553434,-0.7125697,-0.8033487,-0.09048077,-0.44538593,-0.19290005,-1.1170727
ZNF891,0.12766081,0.7043275,0.4383397,0.112889744,0.24963276,0.2042524,0.5052398,0.5980402,0.16305082,-0.006843445,0.51613694,0.40084454,0.27623984,0.7076399,0.27903226
OLFML2A,-0.032106698,0.8988123,1.0331477,-0.29417273,0.4845223,0.57231975,0.29027292,0.9118481,-0.098605774,-0.23598596,0.09382989,0.36036405,-0.12484206,0.7193424,-0.3596815
UFL1,0.026634939,0.34376785,0.32832584,-0.06613567,0.13663198,0.206417,0.16075204,0.34045735,0.0013149916,-0.08587269,0.07669853,0.13106494,0.026197944,0.28394276,-0.051702704
AP002381.1,-0.3121239,0.47562104,0.58592355,-0.14242212,0.0015108167,0.5845029,-0.105786696,0.7339039,0.1973934,0.17051916,0.016647551,0.19225666,-0.07581659,0.64424103,0.03930683
AL020997.3,-0.01572858,1.1726612,0.885994,0.30697742,0.26139858,0.6470527,0.55401874,1.1841617,0.31599417,0.3376764,0.8558995,0.57716715,0.30933908,1.5327557,0.6369787
CCDC114,0.112377755,0.4984667,0.31985778,0.121524744,0.10182475,0.24688113,0.2656118,0.4240861,0.09914139,0.006765827,0.28448334,0.21627352,0.17097026,0.50336796,0.21407415
CES5AP1,-0.77227664,-0.9420764,-0.18069096,-0.98161554,-0.13399039,-0.027360315,-0.86830646,-0.19878106,-0.01282328,-0.2537637,-1.1378005,-0.123446204,-0.7224341,-1.1397859,-1.0005634
PCNA,-0.06197821,0.2428728,0.1581828,0.08390011,0.16356286,-0.039318178,0.2597292,0.29486835,0.14223506,0.13474035,0.39564136,0.30613124,0.09742781,0.37023923,0.22929138
AC004801.1,-0.57995296,-0.17316195,0.18625668,-0.5191038,-0.1743313,0.3506595,-0.54844207,0.35056025,0.2437553,0.061057482,-0.5044146,0.052718773,-0.27087933,-0.15237363,-0.32243803
SH2D3C,-0.26009712,-1.0991969,-0.6073314,-0.64548206,-0.40868208,-0.17648882,-0.8718374,-0.82357854,-0.25968733,-0.4220777,-1.3038657,-0.630161,-0.520349,-1.4787394,-0.9035219
C1RL,-0.10398761,-0.51721925,-0.31148422,-0.21237281,-0.28270078,-0.019007236,-0.49606377,-0.41133344,-0.08205689,-0.10166898,-0.59027946,-0.35573548,-0.18333772,-0.62580365,-0.30549714
LINC01759,-0.00877419,0.61861414,0.29927868,0.025491968,0.09907118,0.23611702,0.40945283,0.59566206,0.31991482,0.0312578,0.4435889,0.4119731,0.333652,0.67934895,0.3556748
AL008729.2,0.07950327,0.28214207,0.39930865,-0.2501894,0.09801036,0.32494652,-0.02394074,0.23207265,-0.22800715,-0.33231172,-0.36076802,-0.13879414,-0.15293239,-0.0019420439,-0.44529423
LINC01023,0.16905458,0.26656494,-0.275971,0.7505269,-0.11196959,-0.15894485,0.4490527,0.095309325,0.3766978,0.59144175,1.0143559,0.27361494,0.56465113,0.83984065,1.1287291
HIPK3,0.02407228,0.01546837,0.10815619,-0.20401302,0.040527336,0.07780137,-0.050945897,0.015439755,-0.11752069,-0.23064739,-0.2702849,-0.08152775,-0.102745324,-0.19384474,-0.30962434
PER3,0.069948316,0.68878406,0.6286656,-0.19326396,0.4756407,0.11902454,0.52620393,0.6505357,-0.011255945,-0.28166303,0.29426718,0.4539958,0.052155,0.44851732,-0.17368212
OFD1,-0.09194081,-0.7213413,-0.52583665,-0.05569527,-0.30078337,-0.22303198,-0.49967358,-0.6487088,-0.11482413,0.03777625,-0.47012,-0.40450543,-0.19780989,-0.6910056,-0.17559858
ZFYVE16,0.079138115,0.34300575,0.2574932,0.10703859,0.18040754,0.07689879,0.27382776,0.29070282,0.006057702,0.03490645,0.29640815,0.17492643,0.08268543,0.3883476,0.12282195
ARHGEF2,0.24292122,0.5876397,0.248296,0.43591607,0.20472847,0.032848418,0.53031135,0.351464,0.09290296,0.20172709,0.7396714,0.291597,0.31911483,0.7742026,0.54502565
ARHGEF26,-0.19436435,0.04611567,0.41528612,-0.57849216,0.16876729,0.24733737,-0.19994552,0.26710397,-0.15475968,-0.39182737,-0.574971,0.011121208,-0.35942435,-0.33128336,-0.73655033
MBNL2,-0.102087535,-0.2691285,0.019046813,-0.4069972,-0.087388985,0.13259599,-0.38202307,-0.14572401,-0.16897964,-0.306402,-0.6648448,-0.25653192,-0.28040403,-0.5530726,-0.5723046
MSRB1,-0.10207403,-0.40493107,-0.32974303,-0.103089474,-0.17278272,-0.1588799,-0.24654338,-0.3133882,0.033530436,-0.005686312,-0.23826197,-0.12271675,-0.05885633,-0.4183123,-0.07858602
