,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
KRT222,0.8402,0.15980000000000005,1.6597168747268143,6.0635953e-06,5.4702173e-06,0.0,0.25,0.13585193,0.10358143,1.2130531,-3.8552475,4.5358753,0.008189379,0.012008566,0.0275,0.0325,0.07445922,0.11482903,False,18 vs 08,18,08
FAM105A,0.8402,0.15980000000000005,1.6597168747268143,0.0002823472,0.0003245169,0.0,0.25,-0.19820505,-0.21964025,1.1661534,-4.309723,3.7900295,0.3961199,0.5337333,0.675,0.8,3.6132119,4.8988047,False,18 vs 08,18,08
AC128687.2,0.8402,0.15980000000000005,1.6597168747268143,4.927299e-06,5.8401347e-06,0.0,0.25,-0.22752044,-0.20575333,1.2509514,-4.771899,4.122431,0.013730402,0.007799387,0.0475,0.0275,0.12814216,0.07313962,False,18 vs 08,18,08
SPINK6,0.8402,0.15980000000000005,1.6597168747268143,5.6007007e-06,8.054428e-06,0.0,0.25,-0.49065155,-0.4903555,1.1342849,-4.465686,3.4336586,0.0029288584,0.0072437376,0.0125,0.025,0.025752917,0.06864462,False,18 vs 08,18,08
ZNF365,0.8402,0.15980000000000005,1.6597168747268143,3.244422e-06,2.9082407e-06,0.0,0.25,0.15672928,0.12521076,1.2326545,-4.9501047,5.101774,0.005755232,0.006949307,0.0175,0.02,0.05030802,0.06513593,False,18 vs 08,18,08
MMP9,0.84,0.16000000000000003,1.658228026008296,1.12088655e-05,9.292743e-06,0.0,0.25,0.25303537,0.2223444,1.2968613,-4.8563147,5.184924,0.019578416,0.008302592,0.065,0.0275,0.20337072,0.08029148,False,18 vs 08,18,08
MKI67,0.84,0.16000000000000003,1.658228026008296,0.0007503237,0.0007657494,0.0,0.25,-0.016943093,-0.016690254,1.4706215,-4.6754017,4.6708593,0.61149263,0.6893678,0.7875,0.7975,5.6286287,6.2784057,False,18 vs 08,18,08
KANTR,0.8398,0.1602,1.6567406831014604,0.0001229164,0.000118734184,0.0,0.25,0.012200556,0.015075207,1.2166823,-4.612094,4.620926,0.1306205,0.13348731,0.335,0.35,1.1702809,1.1930666,False,18 vs 08,18,08
AP001160.4,0.8398,0.1602,1.6567406831014604,5.017078e-06,6.492725e-06,0.0,0.25,-0.4144939,-0.42055988,1.1835097,-4.574868,3.630371,0.007547715,0.012239828,0.0275,0.04,0.06970802,0.11524127,False,18 vs 08,18,08
BFSP2-AS1,0.8398,0.1602,1.6567406831014604,1.3674289e-05,1.4363778e-05,0.0,0.25,-0.07894516,-0.08047104,1.2626872,-4.414958,4.94744,0.013327399,0.019914778,0.045,0.06,0.12896286,0.18407415,False,18 vs 08,18,08
SLC16A10,0.8398,0.1602,1.6567406831014604,3.7589183e-05,4.7464328e-05,0.0,0.25,-0.34490415,-0.35946703,1.1800332,-5.1605635,3.6167765,0.019544916,0.025354214,0.06,0.085,0.17969579,0.23670733,False,18 vs 08,18,08
OGFOD2,0.8398,0.1602,1.6567406831014604,5.4388647e-06,7.991759e-06,0.0,0.25,-0.56753963,-0.5571852,1.0564471,-4.5393524,3.2835226,0.005641393,0.008138723,0.02,0.025,0.053221747,0.08068179,False,18 vs 08,18,08
CIT,0.8398,0.1602,1.6567406831014604,0.00019856148,0.00020061753,0.0,0.25,-0.005261783,-0.030266762,1.2740624,-4.228736,4.0327463,0.20827967,0.23682243,0.4875,0.525,1.901081,2.1492748,False,18 vs 08,18,08
MICAL3,0.8398,0.1602,1.6567406831014604,1.1308062e-05,1.3860533e-05,0.0,0.25,-0.28149992,-0.30798244,1.1742096,-4.591318,4.048175,0.01688038,0.011663275,0.0525,0.035,0.1533049,0.108564675,False,18 vs 08,18,08
ZNF502,0.8398,0.1602,1.6567406831014604,1.0074353e-05,1.3592273e-05,0.0,0.25,-0.42772597,-0.4157095,1.2117853,-4.4811106,3.6844711,0.013490867,0.014717878,0.04,0.04,0.12327469,0.13354975,False,18 vs 08,18,08
TMEM74,0.8398,0.1602,1.6567406831014604,1.4376116e-06,1.6063569e-06,0.0,0.25,-0.13232373,-0.14235592,1.2464793,-4.7100887,5.0119305,0.0017290183,0.0016074574,0.005,0.005,0.015424913,0.013968527,False,18 vs 08,18,08
AC016949.1,0.8396,0.1604,1.65525484208036,7.211902e-05,6.63383e-05,0.0,0.25,0.108689085,0.11239815,1.1864434,-3.341858,4.147251,0.0904553,0.06008279,0.26,0.1675,0.8015731,0.5412948,False,18 vs 08,18,08
ARMC12,0.8396,0.1604,1.65525484208036,0.0001186698,0.00013124729,0.0,0.25,-0.1501866,-0.16287565,1.2895849,-5.181098,4.2684145,0.20347853,0.2558256,0.4725,0.56,1.8409058,2.3346477,False,18 vs 08,18,08
DSCC1,0.8396,0.1604,1.65525484208036,0.00030495095,0.00031186818,0.0,0.25,-0.044915084,-0.05538082,1.2198778,-4.1270504,5.080495,0.27482212,0.26920617,0.575,0.565,2.5468533,2.45336,False,18 vs 08,18,08
LINC02152,0.8396,0.1604,1.65525484208036,6.751581e-06,7.618436e-06,0.0,0.25,-0.08366953,-0.06771755,1.2712952,-4.70236,5.4257135,0.011643129,0.0061933403,0.0425,0.0225,0.10713074,0.059499502,False,18 vs 08,18,08
MAFB,0.8396,0.1604,1.65525484208036,0.0005550985,0.0005914987,0.0,0.25,-0.14497055,-0.16020918,1.2662139,-4.728115,4.4615717,0.8003176,0.797897,0.7925,0.78,7.322898,7.227736,False,18 vs 08,18,08
BEX1,0.8394,0.16059999999999997,1.6537704990336022,1.9146937e-06,2.2667246e-06,0.0,0.25,-0.26294217,-0.26534462,1.2785949,-6.248295,4.944565,0.0025379134,0.008696373,0.0125,0.0225,0.022649886,0.088801384,False,18 vs 08,18,08
ARHGAP27P1-BPTFP1-KPNA2P3,0.8394,0.16059999999999997,1.6537704990336022,1.6001439e-05,2.004817e-05,0.0,0.25,-0.37302873,-0.40977955,1.0576357,-3.7156143,3.421729,0.023887888,0.031461176,0.0725,0.09,0.22551137,0.29565686,False,18 vs 08,18,08
SPNS2,0.8394,0.16059999999999997,1.6537704990336022,7.244014e-05,4.40925e-05,0.0,0.25,0.73236483,0.72620726,0.8997439,-2.7105522,4.27435,0.10552232,0.061573375,0.295,0.1875,0.9760987,0.5695132,False,18 vs 08,18,08
SPATA6L,0.8394,0.16059999999999997,1.6537704990336022,5.124499e-06,6.1601304e-06,0.0,0.25,-0.26197422,-0.2640438,1.2092518,-4.8508444,4.008497,0.003505445,0.008099299,0.0125,0.0275,0.032571387,0.08085561,False,18 vs 08,18,08
GRIK3,0.8392,0.16080000000000005,1.652287650064279,0.0003237148,0.0003112205,0.0,0.25,0.06872955,0.053369522,1.2949572,-4.5538034,5.03481,0.19006878,0.22517735,0.435,0.47,1.7857286,2.0696294,False,18 vs 08,18,08
NPPC,0.8392,0.16080000000000005,1.652287650064279,8.242957e-06,8.4594485e-06,0.0,0.25,-0.04635783,-0.048426628,1.3438169,-5.575741,5.239319,0.023936484,0.023211077,0.09,0.0725,0.23253003,0.20990795,False,18 vs 08,18,08
IL17RB,0.839,0.16100000000000003,1.6508062912898949,0.00011315021,0.00012139814,0.0,0.25,-0.115599096,-0.13777542,1.2656181,-5.057863,5.2127123,0.09229486,0.10184397,0.2725,0.295,0.8468241,0.9231796,False,18 vs 08,18,08
CDC45,0.839,0.16100000000000003,1.6508062912898949,0.00028885828,0.00028022373,0.0,0.25,0.038177483,0.011111736,1.3312238,-3.999012,4.5809317,0.22173338,0.22937787,0.485,0.515,2.0822985,2.1248345,False,18 vs 08,18,08
NXPE3,0.839,0.16100000000000003,1.6508062912898949,5.4771503e-05,8.8378336e-05,0.0,0.25,-0.67910475,-0.68496656,0.940982,-3.9060268,2.607811,0.09100675,0.19641551,0.26,0.435,0.82096916,1.7628217,False,18 vs 08,18,08
LINC00882,0.8386,0.1614,1.6478480288675836,1.2895445e-05,2.0534984e-05,0.0,0.25,-0.6838701,-0.6999693,0.8209281,-3.3009224,2.5409956,0.015540089,0.019315572,0.05,0.0575,0.1419146,0.18293612,False,18 vs 08,18,08
TANC1,0.8386,0.1614,1.6478480288675836,0.0001417187,0.000175714,0.0,0.25,-0.3203574,-0.3362589,1.1409131,-4.669297,3.435522,0.085451365,0.11374398,0.245,0.3325,0.78485566,1.0318888,False,18 vs 08,18,08
MAFA-AS1,0.8386,0.1614,1.6478480288675836,4.5645634e-06,5.592872e-06,0.0,0.25,-0.27363592,-0.30050373,1.1699961,-4.173517,4.600157,0.006467947,0.01090639,0.0175,0.04,0.064586416,0.09909389,False,18 vs 08,18,08
TMEM89,0.8384,0.16159999999999997,1.6463711175260778,7.825089e-07,8.07585e-07,0.0,0.25,-0.028919281,-0.055290222,1.3033448,-4.2097263,5.0526485,0.0037700627,0.0,0.0125,0.0,0.033293396,0.0,False,18 vs 08,18,08
HOXC12,0.8384,0.16159999999999997,1.6463711175260778,2.7801627e-06,3.2557434e-06,0.0,0.25,-0.27850538,-0.2886343,1.1975766,-4.2899914,5.5444183,0.0044842195,0.0047172806,0.015,0.0175,0.042406492,0.0431187,False,18 vs 08,18,08
CCDC144NL-AS1,0.8384,0.16159999999999997,1.6463711175260778,9.084353e-06,1.0647475e-05,0.0,0.25,-0.20395991,-0.22833443,1.2116675,-4.5446644,5.370573,0.009708976,0.013368203,0.0225,0.0425,0.09413446,0.13003172,False,18 vs 08,18,08
NANOS1,0.8382,0.16180000000000005,1.644895680992211,0.00013680328,8.6217384e-05,0.0,0.25,0.63334495,0.6381335,0.88602287,-2.899208,3.8002768,0.17980917,0.09060478,0.4225,0.2475,1.6781776,0.8110469,False,18 vs 08,18,08
TBC1D8,0.8382,0.16180000000000005,1.644895680992211,1.3772968e-05,1.4342354e-05,0.0,0.25,-0.12658337,-0.1813116,1.2834411,-4.8115177,4.724083,0.027661016,0.02396232,0.0775,0.0775,0.24356902,0.21582235,False,18 vs 08,18,08
CDKN2D,0.838,0.16200000000000003,1.64342171545448,0.00014548577,0.00013136212,0.0,0.25,0.16398665,0.16574717,1.1914567,-3.4379206,3.739605,0.15977573,0.12416638,0.4075,0.34,1.4908473,1.1219267,False,18 vs 08,18,08
RANBP3L,0.838,0.16200000000000003,1.64342171545448,3.3802586e-05,4.809041e-05,0.0,0.25,-0.48404127,-0.47812605,1.1764945,-4.890133,4.260599,0.04360235,0.094937876,0.1325,0.26,0.3979805,0.84733933,False,18 vs 08,18,08
GDF9,0.8378,0.1622,1.6419492171153656,4.6600862e-06,6.0448633e-06,0.0,0.25,-0.35777077,-0.36836624,1.176809,-4.5908833,4.176569,0.019458104,0.01686385,0.0725,0.07,0.1744277,0.16202374,False,18 vs 08,18,08
DENND2C,0.8378,0.1622,1.6419492171153656,1.6484068e-05,1.9009061e-05,0.0,0.25,-0.24822754,-0.27708054,1.1633184,-4.3057966,4.0293407,0.029330485,0.022581542,0.085,0.075,0.27586,0.19931121,False,18 vs 08,18,08
ZRANB2-AS1,0.8378,0.1622,1.6419492171153656,2.7939118e-06,3.3248532e-06,0.0,0.25,-0.24540354,-0.24122906,1.1998906,-4.421748,4.272743,0.005961677,0.0066784173,0.0225,0.0175,0.057923555,0.060157917,False,18 vs 08,18,08
NPPA-AS1,0.8378,0.1622,1.6419492171153656,3.461073e-06,5.1871284e-06,0.0,0.25,-0.63210756,-0.65757465,0.9263349,-3.8031921,2.6188774,0.0064361715,0.0055957437,0.02,0.015,0.058439743,0.05389884,False,18 vs 08,18,08
IFFO2,0.8376,0.1624,1.6404781821912697,1.4923529e-05,1.2414483e-05,0.0,0.25,0.2827559,0.28362656,1.1936926,-4.029192,4.7755384,0.019085685,0.017836982,0.055,0.0575,0.19178395,0.15702324,False,18 vs 08,18,08
PANX2,0.8376,0.1624,1.6404781821912697,1.0952977e-05,1.0137754e-05,0.0,0.25,0.09616908,0.07691431,1.218959,-4.1650267,5.005147,0.020662434,0.00608969,0.0675,0.0175,0.19881706,0.055420585,False,18 vs 08,18,08
LRRC17,0.8376,0.1624,1.6404781821912697,6.444682e-06,7.0821734e-06,0.0,0.25,-0.11776018,-0.1415987,1.3125691,-5.316472,4.4615736,0.0018418931,0.006160727,0.0075,0.02,0.018227529,0.05610975,False,18 vs 08,18,08
AC098828.1,0.8376,0.1624,1.6404781821912697,1.7505594e-06,2.3719208e-06,0.0,0.25,-0.43164498,-0.4555788,1.1567899,-4.5184555,4.169115,0.0024002425,0.00053088507,0.005,0.0025,0.021336034,0.0049798335,False,18 vs 08,18,08
CASP9,0.8374,0.16259999999999997,1.6390086069124443,5.0108552e-05,3.707891e-05,0.0,0.25,0.41225767,0.4007268,1.2061683,-3.8963938,5.2333403,0.08060435,0.049492773,0.2375,0.1525,0.7894813,0.4639636,False,18 vs 08,18,08
AC104187.1,0.8374,0.16259999999999997,1.6390086069124443,1.3453856e-05,1.4572972e-05,0.0,0.25,-0.12215892,-0.094231606,1.2334082,-4.3729773,4.201169,0.027978994,0.02854069,0.095,0.0975,0.2731437,0.26738048,False,18 vs 08,18,08
RAD51,0.8374,0.16259999999999997,1.6390086069124443,0.0002661965,0.00026737363,0.0,0.25,-0.0025777433,-0.035534382,1.2990775,-4.462513,5.2190638,0.29309502,0.27238047,0.6,0.57,2.7047431,2.4901135,False,18 vs 08,18,08
TPX2,0.8374,0.16259999999999997,1.6390086069124443,0.0007315752,0.00075867627,0.0,0.25,-0.017039979,-0.020890713,1.1674967,-3.7085133,3.856491,0.8906604,0.9198591,0.8825,0.8775,8.189095,8.494343,False,18 vs 08,18,08
AC026401.3,0.8374,0.16259999999999997,1.6390086069124443,5.807761e-05,5.948283e-05,0.0,0.25,-0.03766638,-0.057541847,1.21657,-4.2608776,3.8912573,0.1126997,0.11674723,0.295,0.3225,1.0095117,1.0512928,False,18 vs 08,18,08
ESPL1,0.8374,0.16259999999999997,1.6390086069124443,0.00042578316,0.00042903933,0.0,0.25,0.016841304,-0.00012302399,1.2905139,-4.21517,4.1569386,0.44687626,0.45820698,0.72,0.735,4.104395,4.2147346,False,18 vs 08,18,08
AC027097.1,0.8372,0.16279999999999994,1.6375404875229227,1.3967267e-05,1.4509854e-05,0.0,0.25,-0.12050416,-0.115159035,1.1750767,-3.750371,3.8145103,0.0213555,0.019783348,0.0775,0.07,0.1915222,0.17534761,False,18 vs 08,18,08
ZBTB47,0.8372,0.16279999999999994,1.6375404875229227,8.997997e-06,8.951038e-06,0.0,0.25,0.014098203,-0.009602547,1.2188072,-3.8761778,4.734167,0.016302392,0.016021563,0.0525,0.0475,0.15112807,0.15427104,False,18 vs 08,18,08
DPYSL4,0.837,0.16300000000000003,1.6360738202804526,5.2034366e-06,5.007418e-06,0.0,0.25,0.03356698,0.030507088,1.2309114,-4.417183,5.2370033,0.014352602,0.012072661,0.045,0.045,0.12857328,0.11245373,False,18 vs 08,18,08
SNAI1,0.837,0.16300000000000003,1.6360738202804526,9.940276e-06,1.4638452e-05,0.0,0.25,-0.5075396,-0.5121145,1.1140581,-4.2832594,3.3421535,0.017277708,0.012169658,0.0575,0.0425,0.16390465,0.113375515,False,18 vs 08,18,08
BCL2,0.837,0.16300000000000003,1.6360738202804526,1.5912181e-05,2.1089945e-05,0.0,0.25,-0.39595783,-0.41115665,1.1715261,-4.7560663,4.9647446,0.014667503,0.015148087,0.0525,0.05,0.1440162,0.13346286,False,18 vs 08,18,08
NFIX,0.837,0.16300000000000003,1.6360738202804526,2.848809e-05,3.157414e-05,0.0,0.25,-0.19156924,-0.20598698,1.1612341,-4.381706,3.9207697,0.031205274,0.02734433,0.1,0.0875,0.2782628,0.2617378,False,18 vs 08,18,08
ASGR1,0.837,0.16300000000000003,1.6360738202804526,7.598821e-07,9.878972e-07,0.0,0.25,-0.38994852,-0.41231441,1.2077674,-4.488474,4.3265896,0.0038832626,0.0023540168,0.01,0.01,0.033685382,0.021674676,False,18 vs 08,18,08
AC093635.1,0.8368,0.1632,1.6346086014564307,7.3645533e-06,8.0688815e-06,0.0,0.25,-0.14635564,-0.15028,1.3059089,-4.6179047,3.9744911,0.010548505,0.010011712,0.03,0.0375,0.100746624,0.09290187,False,18 vs 08,18,08
MMP16,0.8368,0.1632,1.6346086014564307,7.714108e-05,6.4273205e-05,0.0,0.25,0.237365,0.21249819,1.2319224,-3.9329586,5.6634436,0.095355876,0.10316999,0.2175,0.2575,0.87529266,0.9458079,False,18 vs 08,18,08
TTLL3,0.8368,0.1632,1.6346086014564307,2.15802e-05,2.684153e-05,0.0,0.25,-0.27804798,-0.28624964,1.162443,-3.8461475,4.1171513,0.022879161,0.022834752,0.07,0.07,0.20582537,0.21297753,False,18 vs 08,18,08
PLIN4,0.8366,0.1634,1.6331448273358307,1.0145384e-05,8.349786e-06,0.0,0.25,0.2109813,0.15996552,1.3705733,-5.03592,6.467288,0.025344225,0.017206877,0.075,0.0525,0.23201567,0.15208577,False,18 vs 08,18,08
AL513548.1,0.8366,0.1634,1.6331448273358307,5.326329e-06,6.848547e-06,0.0,0.25,-0.33587584,-0.35237217,1.1623577,-4.7697735,4.166566,0.010925356,0.012803802,0.0325,0.0375,0.098851725,0.11423134,False,18 vs 08,18,08
SLC29A3,0.8366,0.1634,1.6331448273358307,2.3263112e-05,1.9405685e-05,0.0,0.25,0.2854666,0.28421497,1.2336968,-4.7052536,4.944886,0.039663237,0.028669382,0.1275,0.0925,0.36950752,0.26867244,False,18 vs 08,18,08
TPRG1-AS1,0.8366,0.1634,1.6331448273358307,4.5918387e-06,5.0761087e-06,0.0,0.25,-0.09851059,-0.095965385,1.2101425,-4.587102,4.3919125,0.0075585633,0.009143128,0.025,0.035,0.07179077,0.08361723,False,18 vs 08,18,08
PARP14,0.8364,0.16359999999999997,1.6316824942171415,2.4451418e-05,3.2181008e-05,0.0,0.25,-0.46689472,-0.5106063,1.0798247,-4.1864843,3.5427952,0.03446864,0.03447006,0.1075,0.115,0.31680155,0.30519944,False,18 vs 08,18,08
IL1R1,0.8364,0.16359999999999997,1.6316824942171415,1.8777611e-05,2.6767326e-05,0.0,0.25,-0.51867676,-0.5373373,1.0651494,-4.5704517,4.071389,0.032731228,0.037229136,0.105,0.1275,0.3046879,0.34229606,False,18 vs 08,18,08
HIST1H2BC,0.8362,0.16379999999999995,1.6302215984122983,5.5360146e-05,4.5565997e-05,0.0,0.25,0.2343506,0.24435854,1.1989051,-4.020854,4.716528,0.07897638,0.0643883,0.2425,0.1875,0.7837374,0.6286311,False,18 vs 08,18,08
TMEM270,0.8362,0.16379999999999995,1.6302215984122983,1.68874e-06,2.1248031e-06,0.0,0.25,-0.26519993,-0.2816124,1.240302,-5.5103607,4.7036304,0.0034365652,0.0037992306,0.0125,0.015,0.033982288,0.03516644,False,18 vs 08,18,08
GNAI1,0.8362,0.16379999999999995,1.6302215984122983,4.6346497e-05,4.3784825e-05,0.0,0.25,0.123577505,0.10130119,1.2336472,-3.5392704,4.418892,0.04986851,0.049342245,0.1375,0.135,0.46987763,0.43766022,False,18 vs 08,18,08
HESX1,0.8362,0.16379999999999995,1.6302215984122983,1.8529083e-05,1.5652618e-05,0.0,0.25,0.23772536,0.22633505,1.156921,-3.6682396,4.005718,0.017855715,0.016566092,0.065,0.05,0.16365142,0.1593819,False,18 vs 08,18,08
INSR,0.836,0.16400000000000003,1.6287621362466176,8.420332e-05,7.001273e-05,0.0,0.25,0.3305002,0.32671595,1.1756101,-3.3766813,4.8167744,0.08318272,0.06995488,0.2375,0.2025,0.75372833,0.6258179,False,18 vs 08,18,08
GABPB1-AS1,0.836,0.16400000000000003,1.6287621362466176,7.1877446e-05,8.158501e-05,0.0,0.25,-0.15605116,-0.15572357,1.2071812,-4.840006,4.191004,0.18399136,0.17334902,0.445,0.4175,1.7189435,1.6131634,False,18 vs 08,18,08
ZNF189,0.836,0.16400000000000003,1.6287621362466176,9.420225e-05,0.00012597426,0.0,0.25,-0.4281006,-0.43162632,1.0956354,-4.4876204,3.5009975,0.088100605,0.1338026,0.25,0.3275,0.7963213,1.1984284,False,18 vs 08,18,08
AC069285.1,0.8358,0.1642,1.627304104058734,6.0402585e-06,6.622289e-06,0.0,0.25,-0.17679773,-0.16782665,1.2423301,-4.760194,4.337616,0.0026478218,0.013524022,0.01,0.05,0.026554313,0.124262676,False,18 vs 08,18,08
ERICH2,0.8358,0.1642,1.627304104058734,4.9808386e-06,5.2918717e-06,0.0,0.25,-0.07024018,-0.09733868,1.2109343,-4.2819366,5.035489,0.007484681,0.0032218064,0.02,0.0125,0.073469,0.033123594,False,18 vs 08,18,08
ADGRD1,0.8358,0.1642,1.627304104058734,3.1856162e-06,3.257737e-06,0.0,0.25,-0.046371173,-0.04386711,1.2620809,-4.695321,4.0097075,0.003184079,0.0070777857,0.01,0.0225,0.03207599,0.060201205,False,18 vs 08,18,08
GATA6,0.8358,0.1642,1.627304104058734,7.978218e-06,1.1146635e-05,0.0,0.25,-0.45003828,-0.44876766,1.1565422,-4.9598866,4.312565,0.014714715,0.025844,0.05,0.075,0.1355288,0.24644561,False,18 vs 08,18,08
NAT2,0.8358,0.1642,1.627304104058734,6.4328797e-06,4.673048e-06,0.0,0.25,0.40576047,0.38770485,1.2196589,-4.3020754,5.1183977,0.011345153,0.008593762,0.0475,0.0325,0.104613654,0.073161006,False,18 vs 08,18,08
AC007014.2,0.8356,0.1644,1.625847498200531,1.973591e-06,2.1918909e-06,0.0,0.25,-0.14844437,-0.15336323,1.2233355,-4.804476,4.433758,0.0035770421,0.00204911,0.015,0.0075,0.034368683,0.0183622,False,18 vs 08,18,08
CRABP1,0.8356,0.1644,1.625847498200531,6.6818543e-06,8.874822e-06,0.0,0.25,-0.4107494,-0.40824604,1.121755,-4.9833097,3.8367262,0.016851304,0.0125465095,0.065,0.0525,0.15933567,0.11712722,False,18 vs 08,18,08
TMEM229B,0.8356,0.1644,1.625847498200531,4.5245873e-05,4.86898e-05,0.0,0.25,-0.14915432,-0.14733171,1.2330452,-4.6188555,5.037013,0.03627638,0.05274004,0.115,0.15,0.33403656,0.49014995,False,18 vs 08,18,08
MT-ND5,0.8356,0.1644,1.625847498200531,0.00031868176,0.000493895,0.0,0.25,-0.48409092,-0.44824362,1.243133,-4.7547092,4.6045723,0.47010767,0.74111,0.68,0.805,4.354743,6.842206,False,18 vs 08,18,08
NYNRIN,0.8354,0.16459999999999997,1.6243923150370798,4.121074e-06,5.0211925e-06,0.0,0.25,-0.27613562,-0.29862785,1.1569241,-4.367985,3.9253654,0.009764207,0.0069032474,0.0275,0.02,0.09200218,0.062511116,False,18 vs 08,18,08
AL136380.1,0.8354,0.16459999999999997,1.6243923150370798,1.5259193e-06,1.5350201e-06,0.0,0.25,-0.027313998,-0.046432495,1.2635629,-4.3644886,5.1361046,0.0009894987,0.0017567686,0.005,0.0025,0.009165857,0.014979751,False,18 vs 08,18,08
AFDN-AS1,0.8354,0.16459999999999997,1.6243923150370798,7.6293095e-06,1.02456115e-05,0.0,0.25,-0.43823212,-0.44532108,1.1002076,-4.234662,3.293459,0.008268827,0.017607177,0.0275,0.06,0.08230833,0.16359779,False,18 vs 08,18,08
AL117329.1,0.8354,0.16459999999999997,1.6243923150370798,4.150815e-06,3.5146095e-06,0.0,0.25,0.22051933,0.21559525,1.1839842,-4.183462,5.220475,0.011865647,0.008544581,0.0375,0.0325,0.11114137,0.08185263,False,18 vs 08,18,08
ISG15,0.8352,0.16479999999999995,1.6229385509465737,5.032111e-05,6.898369e-05,0.0,0.25,-0.4313372,-0.47039175,1.0538524,-3.47225,3.3897,0.074940145,0.101943664,0.1775,0.21,0.7385704,0.9710971,False,18 vs 08,18,08
PROSER2-AS1,0.8352,0.16479999999999995,1.6229385509465737,2.4365834e-06,2.5969478e-06,0.0,0.25,-0.12292631,-0.14805794,1.2435387,-4.9230185,5.2869644,0.0017485255,0.004093712,0.0075,0.01,0.015699282,0.035564855,False,18 vs 08,18,08
TMEM92,0.8352,0.16479999999999995,1.6229385509465737,4.0448325e-05,3.3945853e-05,0.0,0.25,0.23880933,0.23567581,1.1717888,-3.5244713,4.3308115,0.06863646,0.04666719,0.205,0.1425,0.6674821,0.44156516,False,18 vs 08,18,08
SGCE,0.8352,0.16479999999999995,1.6229385509465737,2.7558634e-05,3.1682575e-05,0.0,0.25,-0.20465517,-0.22648478,1.1882778,-3.9007492,3.8763418,0.01907317,0.023185762,0.07,0.0725,0.17981331,0.2099522,False,18 vs 08,18,08
MST1L,0.8352,0.16479999999999995,1.6229385509465737,1.1445064e-05,1.1500487e-05,0.0,0.25,-0.032147888,-0.056183815,1.1732669,-4.0132427,4.310749,0.015113237,0.023136199,0.0475,0.075,0.13472465,0.20822349,False,18 vs 08,18,08
AL121917.1,0.835,0.16500000000000004,1.6214862023202636,1.0497963e-05,1.3380115e-05,0.0,0.25,-0.36268163,-0.38624477,1.1535864,-4.499028,3.9949713,0.009691808,0.015128324,0.04,0.05,0.08674833,0.13647307,False,18 vs 08,18,08
STMND1,0.835,0.16500000000000004,1.6214862023202636,2.9292989e-05,4.1728974e-05,0.0,0.25,-0.57551455,-0.5670471,1.0081884,-5.115906,4.1177177,0.049210444,0.064901054,0.1525,0.2,0.44982022,0.59372324,False,18 vs 08,18,08
TIAM1,0.8348,0.1652,1.620035265562399,3.8894952e-05,3.4993023e-05,0.0,0.25,0.1011646,0.08628559,1.3016346,-4.543044,5.798008,0.062409144,0.03499101,0.1825,0.12,0.5524588,0.3073398,False,18 vs 08,18,08
AC073195.1,0.8348,0.1652,1.620035265562399,1.5414545e-05,1.7476696e-05,0.0,0.25,-0.19084413,-0.16662121,1.3241916,-4.6779003,4.02876,0.024068814,0.034611113,0.085,0.1,0.2321313,0.32183608,False,18 vs 08,18,08
PCDH9,0.8348,0.1652,1.620035265562399,1.2591353e-05,1.5447473e-05,0.0,0.25,-0.2529716,-0.2742405,1.1745598,-4.396837,3.8497362,0.0033198704,0.009020909,0.0125,0.025,0.026393896,0.08385579,False,18 vs 08,18,08
SPEG,0.8348,0.1652,1.620035265562399,6.535919e-06,6.939161e-06,0.0,0.25,-0.097061716,-0.099393845,1.1981839,-3.9383316,4.4145346,0.008015534,0.0135591,0.03,0.04,0.07599762,0.13369066,False,18 vs 08,18,08
TIPARP,0.8346,0.1654,1.6185857370901586,0.00031642523,0.00048728418,0.0,0.25,-0.61073893,-0.6344094,0.88191384,-3.3732777,2.3655233,0.39012155,0.48225904,0.6475,0.6875,3.6174352,4.39527,False,18 vs 08,18,08
AC015712.6,0.8346,0.1654,1.6185857370901586,8.704255e-06,8.44201e-06,0.0,0.25,0.069088,0.070495605,1.293166,-4.1752357,4.186637,0.014195759,0.010575776,0.0525,0.0275,0.13412228,0.10190938,False,18 vs 08,18,08
C14orf132,0.8346,0.1654,1.6185857370901586,0.00013419027,0.0001404744,0.0,0.25,-0.034911204,-0.040159702,1.2883099,-4.437253,4.421751,0.14294514,0.17952508,0.355,0.43,1.3646854,1.661493,False,18 vs 08,18,08
SH2D2A,0.8346,0.1654,1.6185857370901586,1.3133007e-05,1.4985543e-05,0.0,0.25,-0.16884656,-0.17655611,1.2169582,-4.7321377,3.7884665,0.015596986,0.016117886,0.055,0.0575,0.15885438,0.1483174,False,18 vs 08,18,08
HMGCS2,0.8346,0.1654,1.6185857370901586,2.9851497e-05,4.3817618e-05,0.0,0.25,-0.55296355,-0.59524345,0.9372667,-3.4920063,3.085022,0.050716244,0.06014596,0.1175,0.1525,0.4797344,0.56664854,False,18 vs 08,18,08
