,00 vs 02,01 vs 08,02 vs 08,00 vs 18,01 vs 02,02 vs 04,00 vs 01,04 vs 08,04 vs 18,00 vs 08,08 vs 18,00 vs 04,01 vs 18,01 vs 04,02 vs 18
STMND1,0.20138931,1.4231459,1.2565211,1.9749973,0.14300767,0.58277625,0.068444334,0.66571736,1.2115914,1.472522,0.5181091,0.8150586,1.936446,0.7520719,1.7933576
POU6F2-AS2,0.7106088,1.467862,1.032868,2.1029418,0.39297676,0.6412621,0.29871273,0.40436834,0.759526,1.7343396,0.36746112,1.2952313,1.7699329,1.0310096,1.3420907
OAS2,-0.20114158,0.4458733,0.45109004,0.6545071,-0.005127867,0.10741306,-0.17656031,0.34002802,0.7140805,0.2467573,0.39473537,-0.07542811,0.85039186,0.096363544,0.83227277
HAPLN1,0.6623051,1.3867967,0.9112992,1.9016845,0.46371374,0.45435175,0.20612483,0.44815126,0.7244585,1.5335273,0.33596864,1.0948348,1.691138,0.9073402,1.1618618
FN1,0.11421697,0.42375094,0.32948405,0.60134417,0.095669486,0.15036938,0.022710636,0.17936943,0.33744562,0.44675678,0.16174717,0.27928707,0.5877759,0.24975173,0.48272818
HOXB4,0.72711897,1.3985254,1.1608249,2.465142,0.22992371,0.67140424,0.50584024,0.4789773,1.0212371,1.8505254,0.56207484,1.3185595,1.917397,0.82513916,1.625311
CCNE1,-0.021153528,0.3024463,0.37083235,0.15755476,-0.07781785,0.18381536,0.075424545,0.1794114,0.000740156,0.40033472,-0.22630173,0.16837916,0.087338544,0.08999512,0.15200089
FOXO3,-0.6699871,-0.52069706,-0.4024792,-0.9475879,-0.10873145,-0.44948858,-0.5499462,0.038829602,0.10950703,-1.0945102,0.12109683,-1.1036174,-0.37904987,-0.53909117,-0.30690968
ZBTB5,-0.16678667,-0.1535996,-0.11613484,-0.3151123,-0.029686572,-0.14117628,-0.14297496,0.019320916,-0.010941534,-0.30875075,-0.022398086,-0.30856088,-0.15751728,-0.1504686,-0.1267339
LINC01943,-0.8328198,-0.6367406,-0.45678893,-0.870409,-0.21838906,-0.5387991,-0.59676814,0.087347806,0.4155515,-1.3002748,0.37584698,-1.3812073,-0.28005594,-0.73946106,-0.099457756
KNSTRN,0.003053471,0.0476816,0.08408017,0.1819883,-0.0040220907,-0.03722976,-0.008408186,0.12412618,0.25648925,0.045904476,0.13048959,-0.036198005,0.21723552,-0.019280666,0.23851028
GPNMB,-0.19006905,0.37196207,0.25500703,0.23888461,0.090922244,0.123456955,-0.29790524,0.12695238,0.28261,0.043882564,0.17661747,-0.07978196,0.5109876,0.23512185,0.42403573
ABCC5,-0.2030118,-0.05940351,0.022108274,0.026088022,-0.09579608,-0.022142166,-0.10044694,0.051524132,0.24408858,-0.16739194,0.19335845,-0.21533196,0.12435687,-0.119380996,0.22578074
AC009108.3,0.14360663,-0.21469368,-0.29643652,-0.39335003,0.12239677,-0.44281322,0.03574326,0.09621279,-0.20316367,-0.2484072,-0.24322383,-0.38482797,-0.41925615,-0.3394068,-0.68635947
CARMIL3,-0.29584113,-0.14852285,-0.2651,-0.3955054,0.11122913,-0.3727827,-0.4022928,0.10430157,0.18718196,-0.6061614,0.15909314,-0.6906758,0.008471192,-0.24371834,-0.17194748
HELZ2,-0.02345781,0.34538126,0.19536391,0.31928268,0.13951269,0.017126115,-0.16133754,0.17679872,0.2884626,0.15643057,0.14281519,-0.014593509,0.47910786,0.16635263,0.3077319
AC009268.2,-0.26163745,-0.26692823,-0.24690904,-0.2137733,-0.04699905,-0.09725775,-0.22718848,-0.12545672,0.10707092,-0.5346331,0.29459584,-0.4144496,-0.031682897,-0.16904737,0.0056607057
SPACA6,0.19846764,0.20793562,0.19215722,0.34922558,-0.0100878,0.2731788,0.20242324,-0.06620281,-0.09207433,0.41660288,-0.04174944,0.4513943,0.12900616,0.24590874,0.15937275
JDP2,0.590264,0.8103494,0.5442537,0.93972343,0.2629714,0.3897105,0.32741937,0.13841476,-0.044528577,1.126174,-0.18686338,0.9650319,0.61550194,0.6461051,0.32683378
RIMS1,0.5450933,1.3687091,0.97759813,1.7461983,0.38182548,0.50359076,0.15687662,0.45291564,0.6913648,1.4775618,0.25213593,1.0610318,1.6117193,0.9229211,1.2222649
PLEKHS1,-1.0048587,-1.5176861,-1.1031798,-1.9875928,-0.45042285,-0.59245616,-0.55899924,-0.47884452,-0.44057676,-2.1128387,0.097857535,-1.6494797,-1.4808103,-1.0747304,-1.0176762
MIR3936HG,0.5840693,1.300779,0.9665939,1.5650592,0.29904106,0.6707584,0.26766118,0.2893338,0.33633602,1.5542012,0.033927575,1.2280847,1.28302,0.9814037,0.97487473
RACGAP1,0.07861745,0.2247492,0.21383579,0.36605513,0.042332463,-0.0008892149,0.02970052,0.20931368,0.3147596,0.256407,0.10157676,0.080499955,0.37128413,0.06334297,0.3258891
AMIGO2,0.940577,1.1408184,0.5855545,1.052143,0.54565567,0.51381665,0.3705323,0.044342518,-0.41199103,1.4819977,-0.43822813,1.4261795,0.67253315,1.0830146,0.10262932
MYB,0.8418943,1.6767207,1.1396366,1.9053512,0.51536655,0.6263591,0.32848024,0.47452316,0.41990277,1.9566549,-0.055311285,1.4863797,1.6067415,1.1884102,1.0538951
TUBA1B,0.12428828,0.19792317,0.17456171,0.309785,0.01872435,0.13297538,0.100794524,0.043583952,0.06816326,0.30288577,0.013153356,0.24898309,0.20453209,0.14972617,0.18891355
ZNF585A,-0.24617109,0.10839186,0.021722658,-0.012737869,0.08904312,-0.16378152,-0.32676524,0.18108772,0.34796497,-0.25316942,0.21792431,-0.3896225,0.33406246,-0.051412884,0.21533173
SSTR2,-0.10792471,0.390434,0.22039156,0.40443414,0.12191406,0.03529202,-0.22042158,0.18721558,0.4090353,0.105254285,0.26971158,-0.0807977,0.6099242,0.16791187,0.45756572
IER5L,0.27839863,0.16559055,0.11002749,0.22149959,0.046682753,0.19500864,0.22517624,-0.08063782,-0.22371311,0.4006821,-0.15678339,0.46205908,-0.010127249,0.23536193,-0.045165848
MBNL1,-0.3473594,-0.3231392,-0.18623649,-0.45063463,-0.12722954,-0.19470116,-0.21251561,0.008132566,0.07206218,-0.54018664,0.08027822,-0.5332129,-0.22611362,-0.32306105,-0.106015064
FMN1,0.060003236,0.43336856,0.34028912,0.5064202,0.08568955,0.1001343,-0.01553714,0.2284834,0.3334054,0.3929917,0.111939356,0.18241441,0.5512617,0.21027648,0.44894147
GPD1,0.41399708,-0.24703291,-0.3566011,-0.80890083,0.104722336,0.094638765,0.30003643,-0.4561102,-1.3132311,0.0801041,-0.8601319,0.4590858,-1.1331757,0.16712551,-1.2670659
KIF2C,0.19072494,0.28115743,0.28364545,0.47293472,0.0447934,0.03915202,0.13181724,0.23976403,0.29776725,0.4317958,0.038094893,0.22668079,0.38326943,0.107864976,0.34259984
ZBTB44,-0.16759707,-0.08626964,-0.08563931,-0.190118,0.0076206713,-0.17465095,-0.16889027,0.081076145,0.12771851,-0.27664584,0.0714449,-0.32803872,0.007180053,-0.14498022,-0.019777622
CACUL1,-0.23829038,-0.102398895,-0.07353432,-0.26357493,-0.028942179,-0.13625461,-0.19861399,0.055390935,0.07929717,-0.3208879,0.04492094,-0.36085734,-0.048975997,-0.15612909,-0.0366126
AC100835.2,-0.26942474,0.20831802,0.25453907,0.3440497,-0.054551184,-0.069047965,-0.21407774,0.30872127,0.65236557,-0.066030376,0.36846092,-0.36377636,0.57460254,-0.099870645,0.5959072
AC159540.1,0.31696805,0.8924132,0.6310458,1.455321,0.26440543,0.22081909,0.051753145,0.42406934,0.8902527,0.9137247,0.51320755,0.5067178,1.3981785,0.4721015,1.0872294
CEP19,-0.06791984,0.17130025,0.13176751,0.17768782,0.034279097,0.00054226303,-0.0910655,0.12596363,0.20900892,0.05688703,0.10601797,-0.06269817,0.27435607,0.033966836,0.21580265
TOP2A,0.054220445,0.27987254,0.29225475,0.40971798,0.02539577,0.016531857,0.022472968,0.26896712,0.3764149,0.31511647,0.09079871,0.08050589,0.42950043,0.068459116,0.40589294
DEPDC1,0.059299767,0.18136017,0.13935213,0.28820676,0.08744272,-0.08945611,-0.03988834,0.221893,0.3467303,0.13815054,0.13719761,-0.01908461,0.378868,0.037675917,0.2913359
ZNF493,-0.24261662,0.13811994,0.008731497,0.13287808,0.12238214,-0.21975364,-0.35590005,0.22689795,0.53424,-0.2668374,0.3640433,-0.44204247,0.5033778,-0.06593013,0.35076872
MAVS,0.03902989,0.022695258,-0.05548067,-0.12819709,0.07649105,-0.05455099,-0.03136911,-0.010085814,-0.14162898,-0.023260057,-0.114141956,-0.01276287,-0.09105151,0.026238162,-0.19150886
ABCA12,0.24519162,0.35599023,0.26353246,0.45807993,0.081177145,0.20374398,0.16540088,0.057871394,0.023531394,0.51689774,-0.040330473,0.4562105,0.30421665,0.29301584,0.22478364
SUSD5,-0.62367505,-0.8396443,-0.6284774,-1.1449248,-0.21840009,-0.5010094,-0.40609217,-0.120446146,-0.057030786,-1.2807052,0.092969835,-1.1274005,-0.7423636,-0.70220447,-0.5109926
FAM49A,-0.87121004,-0.43418476,-0.14414728,-0.5418167,-0.28818655,-0.20047343,-0.5782429,0.0821498,0.49653336,-0.9960261,0.44038203,-1.0869867,-0.005266408,-0.5335416,0.2838266
HGFAC,-0.010792374,0.4762526,0.30752623,0.5706043,0.15029627,-0.008181393,-0.15943095,0.3417023,0.57746726,0.30859795,0.25065354,-0.038043693,0.72605735,0.15173449,0.5369777
KRT7,0.006475937,-0.59333503,-0.45808178,-0.7846379,-0.14389122,-0.075763434,0.1365511,-0.36454168,-0.68274623,-0.43912682,-0.33012477,-0.10660021,-0.943689,-0.24015616,-0.77533805
PCDH7,-0.55434793,-1.2512143,-1.0059385,-1.9640877,-0.24724427,-0.53482753,-0.29699618,-0.45707685,-0.9205596,-1.5430144,-0.42393893,-1.1250068,-1.6826547,-0.8164592,-1.4704463
AC007879.3,0.82360095,1.8741544,1.4470034,2.837925,0.3937277,0.8239315,0.42968902,0.6097648,1.1634402,2.2336771,0.57544,1.6022422,2.3927634,1.2013878,1.9522656
SLC25A18,-0.8921573,-1.6588,-1.155224,-2.0919533,-0.48450825,-0.6490977,-0.4021449,-0.46948335,-0.56063354,-2.0147023,-0.07033223,-1.5661851,-1.7173173,-1.1878846,-1.2287322
IFI6,-0.027105896,0.20855162,0.27542144,0.45579457,-0.07228298,0.23801336,0.040933885,0.05391748,0.26802728,0.26695028,0.20545879,0.20195845,0.39437002,0.1383414,0.49047613
PALLD,-0.036119267,0.31604135,0.33432466,0.38069615,-0.021330955,0.18166617,-0.0043061613,0.14750834,0.23321824,0.31622848,0.079291165,0.1593646,0.39350533,0.15234731,0.4065317
DEK,0.0112975,0.2230469,0.19348234,0.22071134,0.03758688,0.036719188,-0.024624888,0.14962713,0.17431256,0.19550134,0.021251272,0.05435747,0.26393455,0.08713939,0.21596996
AL390726.6,0.9882217,1.7774457,1.2844516,2.7367318,0.48397347,0.76933736,0.48287812,0.5336373,0.99358517,2.230169,0.48265928,1.6906028,2.2235723,1.227462,1.7127793
SRD5A1,-0.49428472,-0.98381436,-0.74160516,-1.4519182,-0.23209547,-0.42090255,-0.26014322,-0.3155715,-0.56006885,-1.2343882,-0.22766094,-0.9256927,-1.2016507,-0.66872805,-0.97083855
HIST2H2BE,-0.019676866,-0.4340874,-0.40875837,-0.5482615,-0.03407312,-0.043045253,0.00083790836,-0.34929666,-0.49148712,-0.44354224,-0.104196854,-0.099060625,-0.57972765,-0.10331868,-0.5310979
HSPB11,0.019085333,0.2733615,0.32703373,0.47273326,-0.065859675,0.28412023,0.077940814,0.056819983,0.20168854,0.376824,0.119129896,0.29225042,0.3705798,0.19568957,0.4586541
FAM198B,-0.21683393,-0.44232437,-0.3254641,-0.6678898,-0.11884172,-0.18700635,-0.08537686,-0.13602339,-0.27586955,-0.526127,-0.13168246,-0.39478186,-0.56900644,-0.31035787,-0.458515
AC005838.2,0.013527335,0.37878942,0.022860507,0.5063948,0.317559,-0.25269264,-0.3023492,0.27685553,0.63864297,-0.034170344,0.455341,-0.2715283,0.8042076,0.10313921,0.4147332
LINC01976,0.19210549,0.512155,0.36072332,0.8148847,0.1461519,0.2655389,0.031251237,0.112946875,0.3375066,0.5159279,0.2706759,0.4027852,0.74309784,0.3746311,0.59110075
CLU,0.4145706,0.44509897,0.31287265,0.60598636,0.124638185,0.3441925,0.27516153,-0.023583798,-0.12824307,0.7309972,-0.114189565,0.7251285,0.30444545,0.4464239,0.18753809
CDCA7L,-0.05972028,0.4468351,0.45155683,0.44329166,0.0060622366,0.14848156,-0.055344228,0.28850624,0.35175067,0.39754528,0.044321295,0.107323974,0.518918,0.15972151,0.49930185
FKBP11,-0.08924411,0.27720508,0.17905338,0.3834529,0.08979589,-0.09710406,-0.15449396,0.26831585,0.50826025,0.06179474,0.28718874,-0.16882896,0.57145935,0.0077822204,0.4422018
AL606760.2,-0.5505706,-0.7734519,-0.4068153,-0.8846874,-0.3750918,-0.19219165,-0.1672734,-0.21704224,-0.18765843,-0.98146474,0.061792646,-0.7849198,-0.7436008,-0.6155066,-0.36126566
DERA,-0.029696597,0.0053136186,0.016783217,-0.034598254,-0.012378239,0.02083388,-0.025715696,-0.0067555113,-0.021128742,-0.026003217,-0.017275913,-0.017157733,-0.013461208,0.013825337,0.0082381135
HS3ST3B1,-0.47280967,-0.48980302,-0.33615094,-0.86462635,-0.16357288,-0.20349626,-0.29599234,-0.13010712,-0.22379056,-0.78117085,-0.07317617,-0.6717563,-0.5769504,-0.3836855,-0.4374733
NUDT3,-0.000801675,0.16283008,0.046043433,0.0019079471,0.10997373,-0.08994248,-0.100239016,0.11938182,0.056460638,0.029556068,-0.041338988,-0.07117174,0.13107686,0.052046336,-0.008884514
MYT1,0.51045257,0.22108632,0.2234616,0.30947733,-0.02971818,0.30592918,0.52926666,-0.116390586,-0.50266427,0.7049524,-0.41706377,0.7045386,-0.25029865,0.24445035,-0.26995587
KRT13,-0.47329628,-0.21654,-0.057974346,-0.46810362,-0.16129218,-0.03722874,-0.31699845,-0.0031762635,0.044608794,-0.5042047,0.05406316,-0.53571117,-0.1773752,-0.22463003,-0.027769757
RPL21P50,-0.13504215,0.3554039,0.24392234,0.6768198,0.073444076,0.11666813,-0.22569318,0.1692267,0.68896174,0.10715427,0.5686267,-0.06163151,0.86142296,0.18069907,0.7787023
TENM3,-0.17989664,0.82591593,0.71570647,1.1016135,0.07657281,0.20781732,-0.2486185,0.49237213,1.0367388,0.52282965,0.55035186,0.064129524,1.3567225,0.3234301,1.2831341
ULK2,-0.5678462,-0.8154269,-0.5413864,-1.0960652,-0.25902465,-0.41268647,-0.29995742,-0.12296853,-0.13142474,-1.1074976,0.005468819,-0.97429717,-0.7858731,-0.67725825,-0.5313873
AOC1,0.7475536,0.8596984,0.6183074,1.0996459,0.23339424,0.690474,0.49014023,-0.05743526,-0.29266784,1.3975886,-0.25187016,1.3751625,0.5551599,0.8666332,0.31559908
SERPINB5,-0.05672063,-0.38440055,-0.50685227,-0.62690115,0.08066699,0.013378253,-0.17068917,-0.48293373,-0.6406205,-0.577236,-0.068130136,-0.15728663,-0.56789714,0.023413433,-0.6778402
LAMTOR5P1,-0.017102914,-0.3207832,-0.19752304,-0.00084310415,-0.12377662,0.015825626,0.081618175,-0.171496,0.014357858,-0.23313779,0.21308261,-0.10392207,-0.1492268,-0.17623436,-0.02512954
KRT81,0.10634529,0.34557867,0.27086198,0.5636232,0.040448967,0.26679564,0.04259964,0.032616314,0.222443,0.3805431,0.19293243,0.32593268,0.4810664,0.2986437,0.46233013
LPIN1,-0.5072811,-0.6008286,-0.48284766,-0.921813,-0.10889286,-0.39658558,-0.39218837,-0.085487306,-0.069373675,-1.0015236,0.056729365,-0.90441096,-0.53508586,-0.5092767,-0.45332837
AC006600.2,-1.2994931,-0.9158593,-0.5519,-1.4376639,-0.3269389,-0.86091053,-0.9341321,0.26794806,0.5748852,-1.9353517,0.394035,-2.1432798,-0.4581305,-1.1732566,-0.20876391
SEMA6A,-0.2686618,0.8090924,0.71584076,0.8616371,0.0665704,0.23748675,-0.32595628,0.4572938,0.8502257,0.4364917,0.41157734,2.5703239e-05,1.1975838,0.33484286,1.1169376
NLRP1,-0.030161893,0.3042443,0.16379723,0.3362452,0.1281913,-0.006631935,-0.15587845,0.16947924,0.32805938,0.122347645,0.1887137,-0.040258147,0.48192677,0.12699065,0.32366636
LURAP1L-AS1,-0.030382004,0.39764056,0.34442896,0.5431958,0.020772161,0.2716417,-0.04992521,0.0816232,0.28471455,0.3367204,0.21583095,0.23254456,0.5601309,0.27093878,0.54165614
ERVMER34-1,0.1322557,0.45805487,0.41940752,0.31771287,0.03897386,0.3103526,0.10092501,0.09430346,-0.12153943,0.5816702,-0.23423105,0.4459607,0.21927588,0.33361804,0.15934242
LRRN3,0.124670506,1.215806,1.0070806,1.794575,0.22899197,0.42508805,-0.10527014,0.58331907,1.2402856,1.100783,0.6906774,0.56462365,1.9164861,0.65599376,1.6697919
CEBPB,-0.113053516,-0.23328672,-0.16815794,-0.33768642,-0.06280868,-0.06478619,-0.05811272,-0.10089305,-0.15391146,-0.28386176,-0.057111427,-0.18687427,-0.29088286,-0.12999739,-0.21794756
CXCL12,0.12608705,1.0885922,0.92217225,1.3643417,0.17103893,0.4664171,-0.04185157,0.44720566,0.7592534,1.0474743,0.3169142,0.59519005,1.4000916,0.62227345,1.2083086
AC092447.7,-0.8296542,-0.50487673,-0.29987934,-0.8208765,-0.1692978,-0.55107063,-0.6375343,0.23783202,0.4863732,-1.1716312,0.30392522,-1.3600202,-0.1434792,-0.70588493,-0.022795325
HNRNPH2,0.100936234,0.19881873,0.15473463,0.20459421,0.03746881,0.115453236,0.06312183,0.034260884,-0.008920588,0.25719416,-0.045546584,0.21596491,0.14793535,0.1573379,0.104469515
PADI3,0.15952873,-0.23483172,-0.25915074,-0.37237832,0.040839996,-0.06419086,0.10816923,-0.19241539,-0.4519391,-0.11678258,-0.24468687,0.07752511,-0.47555158,-0.0253221,-0.521904
PLCD1,0.639706,1.1501986,0.68887854,1.38501,0.4226166,0.47805542,0.20667097,0.21423997,0.24597073,1.3266578,0.056915082,1.0895437,1.1467283,0.9015377,0.6881927
ABCC13,0.41429165,1.1672307,0.96195877,1.6268749,0.21024126,0.57167614,0.19581808,0.38304415,0.6632829,1.3617835,0.2715162,0.9819124,1.4337095,0.77736425,1.2219176
SYNE1,0.33595392,1.1840224,0.82504433,1.4789134,0.36262763,0.34309936,-0.029360201,0.47490644,0.78501964,1.1258026,0.34793586,0.6859753,1.5324847,0.73306704,1.1325623
KRT8P3,-0.026000407,-0.19643952,-0.0036483016,0.105435826,-0.22947046,0.28046978,0.19063687,-0.23875886,-0.08604893,0.035195705,0.119339354,0.21883027,-0.14066328,-0.0020512133,0.14372684
GTF2E1,-0.18920013,-0.120952114,-0.040227503,-0.15497816,-0.089094535,-0.036649723,-0.091281794,-0.002102521,0.05720236,-0.21976323,0.06909319,-0.21788028,-0.058619067,-0.13017236,0.026944004
SERPINI1,0.16509134,0.37476274,0.30546457,0.65602463,0.031964354,0.25673136,0.123085074,0.059086714,0.25673953,0.4806645,0.18570068,0.4177529,0.5139078,0.29890248,0.51269734
RIPPLY3,-0.38290375,-0.38301656,-0.24138145,-0.5556324,-0.13190742,-0.31491998,-0.24203628,0.07732509,0.13068679,-0.62797254,0.057104256,-0.68688893,-0.29030612,-0.43134287,-0.17031749
CNTRL,-0.09694647,0.0382151,0.072663665,0.2765751,0.016323976,-0.14933392,-0.12670188,0.22341923,0.5439276,-0.09391614,0.34697738,-0.24208477,0.43922374,-0.10905422,0.4285028
AC010654.1,-0.15910526,0.14172669,0.16222239,0.08366538,-0.046635255,0.14350612,-0.12017555,0.027172219,0.110421814,0.01826885,0.08273024,-0.023184773,0.18328387,0.09905567,0.24681672
SPINK13,-1.0649762,-2.1035964,-1.4405159,-2.7470477,-0.633269,-0.7087097,-0.44551727,-0.6835939,-0.949449,-2.4828956,-0.24873945,-1.8372619,-2.3424902,-1.410861,-1.6844583
PLLP,-0.65779,-1.2370974,-0.81844187,-1.5006326,-0.42515653,-0.43325368,-0.22788012,-0.36143905,-0.40454498,-1.4504867,-0.045029245,-1.0995997,-1.2875137,-0.88256437,-0.8321394
AC006480.2,-0.122926585,0.06294757,-0.16568957,-0.2271275,0.21393223,-0.24447525,-0.336147,0.07012518,0.051351402,-0.33159322,0.058403715,-0.39229703,0.09973335,-0.013554989,-0.1869849
RRM2,0.05635714,0.1980945,0.24605471,0.22616404,-0.021674052,0.044658896,0.07457458,0.19784603,0.16262734,0.29630426,-0.066192046,0.10201579,0.17910244,0.03446604,0.2003688
BX322234.1,0.6905876,1.9430469,1.4808826,2.6984873,0.43225044,0.6347995,0.3012224,0.7894716,1.2455926,2.1360626,0.49766237,1.3044491,2.3988717,1.040827,1.8380795
AL512380.2,0.35594782,0.63039744,0.4687519,1.2364398,0.10612628,0.44535214,0.23860762,0.06311008,0.44381338,0.84951663,0.39808485,0.7436198,0.9367913,0.5085364,0.83525604
TRPV1,0.20748982,0.53042316,0.35378897,0.6510554,0.16573282,0.16758807,0.045448657,0.1836661,0.2608468,0.5507901,0.09719397,0.37967047,0.61568314,0.345095,0.43558735
NLGN1,-0.5512814,-0.3582516,-0.06825742,-0.2799121,-0.25430724,-0.18450202,-0.29286695,0.0977805,0.40142903,-0.71188074,0.36855492,-0.7675761,0.023580799,-0.46616206,0.27105656
TFF3,0.2530945,0.53287405,0.5174547,0.9531131,0.006397234,0.44148847,0.24157012,0.09611207,0.30240947,0.80680877,0.17884581,0.68311656,0.6835871,0.41100255,0.70161194
CDT1,0.093919136,0.38585418,0.38707834,0.4496431,0.00021449718,0.17619891,0.0946621,0.20589437,0.20576106,0.49331713,-0.035870973,0.27253148,0.36620808,0.18391678,0.36769667
NPY1R,0.6451358,0.9838722,0.5711401,0.8827798,0.4018651,0.40136266,0.23818557,0.1453016,-0.20001231,1.1769422,-0.3130665,1.0185955,0.6464651,0.80905145,0.20607468
TUG1,-0.08494756,0.07681907,0.040002264,-0.021558916,0.043405633,-0.07942324,-0.11978406,0.10762355,0.11383726,-0.06543065,0.02810299,-0.15243939,0.12135631,-0.02237476,0.056426898
AC027796.1,-0.2986605,0.5745738,0.3228025,0.4530723,0.25407875,-0.33494276,-0.5094814,0.60829735,0.9098229,-0.04606891,0.3954326,-0.61181647,1.0032333,-0.04904119,0.617909
WNT11,-0.41208217,-1.3988035,-1.1422534,-1.7226582,-0.24574292,-0.41358373,-0.19849694,-0.6667492,-0.89975566,-1.5649314,-0.16533953,-0.9362883,-1.6106082,-0.7458225,-1.3591472
WFDC2,0.23132749,-0.6351454,-0.58378124,-0.77506846,-0.048627704,-0.072529934,0.2581595,-0.4821667,-0.90028167,-0.34585658,-0.41330338,0.096121795,-1.0732602,-0.16391644,-1.0111952
SLC2A1,-0.48255655,-0.59718204,-0.38480815,-0.85287464,-0.20832144,-0.26346266,-0.26910764,-0.11497604,-0.12708305,-0.8579342,-0.00013857898,-0.7521085,-0.59256864,-0.48913354,-0.39156413
MATN2,-0.2737523,-0.244046,-0.18112428,-0.5205877,-0.06154251,-0.14379083,-0.20789492,-0.03316382,-0.12362491,-0.4438411,-0.074375145,-0.43026984,-0.3194114,-0.21727307,-0.28482902
AL161729.1,-0.09561169,-0.16086312,0.059630744,0.37160802,-0.25976038,0.29662535,0.12929346,-0.17400539,0.24145856,-0.00301201,0.39877784,0.0983294,0.14934145,-0.03507322,0.4548977
SLC1A3,-0.86733127,-0.8474995,-0.6624132,-0.92087317,-0.20186119,-0.4542149,-0.69419485,-0.1471236,0.36815217,-1.5596939,0.59728587,-1.3865931,-0.29840922,-0.6836453,-0.08289254
AP003068.2,0.10385775,0.29340628,0.13103078,0.7891857,0.1223513,0.19203481,-0.033043817,-0.013161659,0.45593652,0.21340291,0.5379441,0.24010006,0.74809766,0.2654011,0.64590573
FLRT3,-0.481163,0.3204467,0.36229327,0.42600536,-0.06989147,0.11944924,-0.3967492,0.25466552,0.7334225,-0.09385937,0.51455945,-0.356605,0.789355,0.020559942,0.840705
SCRG1,-0.9551367,-1.6738101,-1.0980778,-1.9620303,-0.55428326,-0.48936215,-0.42182818,-0.5480097,-0.51955,-2.0462122,0.068364345,-1.5421151,-1.6297988,-1.1505347,-1.0483818
SECISBP2L,-0.38484147,-0.54012775,-0.43448666,-0.7967052,-0.09641688,-0.3331607,-0.28757328,-0.09658548,-0.10224914,-0.83813965,0.027433176,-0.7154488,-0.5040711,-0.42196992,-0.4124145
AC234781.1,0.02981784,0.27200866,-0.12517902,0.03759191,0.3996235,-0.3944658,-0.37792048,0.24902864,0.2949958,-0.20969497,0.15331522,-0.39489838,0.43740553,0.06444495,-0.049921013
AC092574.2,0.060190454,-0.32368445,-0.37791777,-0.20463404,0.058186505,-0.20533776,-0.018065725,-0.15057749,-0.074800156,-0.37420586,0.13087134,-0.20868589,-0.21307924,-0.16090478,-0.2850735
CMYA5,0.08806576,0.2910063,0.104092136,0.37005508,0.15857032,-0.005673784,-0.073710255,0.11695323,0.2605211,0.16620085,0.18381904,0.07208129,0.44881904,0.18017656,0.27343684
HSPA1A,0.5874058,0.48255926,0.29580176,0.6564174,0.1851431,0.31673872,0.39103785,-0.02273141,-0.21432473,0.8804138,-0.20757689,0.8894398,0.26600587,0.50160867,0.08673088
ACTA1,0.06557825,1.1812575,0.8209362,1.6668291,0.36883008,0.07224588,-0.3072411,0.7589188,1.4926398,0.8255087,0.7991821,0.13411075,2.0036266,0.48551255,1.5709572
AC011466.4,0.42458847,1.5781432,0.9090169,1.8058127,0.6590145,-0.006814865,-0.204125,0.8652498,1.2274926,1.2331805,0.46514213,0.43311235,2.066878,0.7208322,1.2649634
GPRIN3,-0.11530304,0.67372376,0.5896867,1.0229046,0.073416956,0.20428051,-0.16261294,0.40105703,0.87321466,0.4888132,0.5178478,0.096640155,1.1740415,0.2364544,1.0647475
FOXRED2,0.034691013,0.3382527,0.2585789,0.29046375,0.088164814,0.04946237,-0.04605749,0.19526249,0.19262734,0.281699,0.0017226227,0.09960119,0.3616769,0.15400614,0.25342748
DLG5,-0.5074817,-0.92963827,-0.7083542,-1.2712554,-0.21775867,-0.45078647,-0.28471208,-0.24533686,-0.33631065,-1.2128733,-0.067925654,-0.96273905,-0.9886761,-0.6757312,-0.7757541
HNMT,-0.27279115,0.21546555,0.31773537,0.52528673,-0.10570528,0.1717876,-0.16345035,0.16913518,0.6183319,0.05434585,0.4761543,-0.11419913,0.66331404,0.02329096,0.7742911
IRX3,0.26282975,0.3745154,0.21698686,0.42543072,0.14099135,0.17069794,0.11960703,0.041930772,-0.013930368,0.48281124,-0.056264643,0.4271001,0.29924598,0.31642345,0.14654619
EPAS1,-0.12915927,-0.6064793,-0.48605362,-0.9695967,-0.13510834,-0.20141228,0.012873415,-0.28171206,-0.6451319,-0.5893425,-0.36793575,-0.33581924,-0.9849124,-0.34356385,-0.8550123
KLHL24,-0.40111887,-0.7670537,-0.59388363,-0.9491412,-0.17255047,-0.32267147,-0.23216116,-0.25472656,-0.23969756,-1.0076373,0.049322594,-0.73683304,-0.7233849,-0.50294083,-0.5408858
AC093668.2,0.6495085,1.7308319,1.2227044,2.1613216,0.45612574,0.6765275,0.19256717,0.53795165,0.8057937,1.8639709,0.28804058,1.3090494,1.9611418,1.1501142,1.4604102
AC073352.1,0.2121571,0.7341087,0.50220484,1.1543982,0.22606257,0.18042478,-0.025493486,0.33130825,0.7588044,0.6690743,0.46154404,0.3855363,1.1844628,0.43108565,0.95879495
VAV3,0.089806214,0.28610238,0.23711,0.3345108,0.03698611,0.1652227,0.054200605,0.0692191,0.08312522,0.33344015,0.009822801,0.25889105,0.2848602,0.20681955,0.24787253
