,00 vs 02,01 vs 08,02 vs 08,00 vs 18,01 vs 02,02 vs 04,00 vs 01,04 vs 08,04 vs 18,00 vs 08,08 vs 18,00 vs 04,01 vs 18,01 vs 04,02 vs 18
LIMA1,0.097551845,0.110840224,0.04330049,0.056676824,0.05767074,0.03885047,0.043575775,-0.0016005998,-0.09502919,0.13727304,-0.08347917,0.13368429,0.019475065,0.1006766,-0.054503594
MYO7A,0.122666165,-0.29311785,-0.32889968,-0.34029132,0.015821474,-0.04093757,0.08874314,-0.27048582,-0.43652818,-0.22783846,-0.13308139,0.009774562,-0.47155687,-0.052675255,-0.49790448
ADARB2,-0.0663796,0.51662904,0.62441325,0.69617057,-0.102816395,0.40374762,0.036412187,0.2120188,0.36023796,0.5584217,0.1431646,0.296985,0.6402927,0.25349003,0.7252283
CHD5,-0.5846416,-0.8737872,-0.6675151,-1.4320331,-0.17257394,-0.5362029,-0.41647768,-0.12433441,-0.33235836,-1.2722131,-0.18030661,-1.157311,-1.0115224,-0.71475065,-0.88039255
RNF144B,-0.24695934,-0.10085103,0.032615643,-0.24788411,-0.13336334,0.04265715,-0.107659765,-0.012708142,-0.03994653,-0.19281451,-0.03489656,-0.19413914,-0.13981722,-0.10162263,-0.00090142497
BCORL1,0.2845996,0.54664564,0.30824688,0.4357696,0.23219512,0.1374022,0.05497118,0.15716532,-0.003021806,0.5833431,-0.14402252,0.42680177,0.39954278,0.39302355,0.13201289
PRODH,-0.30598247,-0.9352218,-0.75695384,-1.3425328,-0.16331308,-0.39933175,-0.1478549,-0.34618703,-0.64022666,-1.0613,-0.28083944,-0.7263616,-1.2036045,-0.57542044,-1.0455395
DUSP13,0.1586698,0.5112488,0.48689815,0.72721404,0.016606867,0.43052608,0.13608016,0.06693458,0.15323734,0.6609217,0.08826685,0.5522076,0.56032884,0.40132046,0.54041255
ITGA2,0.22940679,0.735511,0.50426465,0.7848611,0.21769764,0.19010137,0.026075656,0.29119596,0.32703137,0.7209728,0.05055702,0.43988097,0.7872986,0.4319325,0.5321584
SLC6A12,-0.75087297,-1.2442418,-0.95425713,-1.9097699,-0.2990362,-0.5020652,-0.44760093,-0.42581558,-0.71593416,-1.6747217,-0.24222095,-1.3056843,-1.5143188,-0.8590957,-1.2523105
AC098818.1,0.50943244,1.1119484,1.0744812,1.4176699,0.022613473,0.68793154,0.5111075,0.31789058,0.17565186,1.5668732,-0.17360733,1.1473154,0.90385264,0.6626703,0.8153356
KRT18P10,0.5406909,0.12262522,0.06830206,0.26062855,0.033249214,0.37194765,0.48762843,-0.28447288,-0.5946684,0.64193386,-0.3419294,0.86250144,-0.26810098,0.367189,-0.27628118
IGFBP5,0.043242566,0.45103192,0.48633632,0.75875634,-0.048227817,0.28835553,0.105121166,0.2067834,0.45127797,0.56570506,0.22532175,0.3554528,0.6643046,0.2309012,0.7264469
TACC3,0.09996157,0.2373294,0.24359857,0.37738872,0.025776464,0.037897788,0.06385898,0.20320868,0.27856967,0.31480777,0.058596224,0.13528535,0.34135655,0.081477225,0.31999025
APBB2,-0.32929093,-0.09200268,-0.079677396,-0.4566458,0.010483567,-0.111648,-0.34121022,0.017502433,-0.06677434,-0.4325056,-0.047332905,-0.44497958,-0.12795451,-0.11284795,-0.16424143
GPC6,-0.3457917,0.39404777,0.37829632,0.3884735,0.014831564,0.019525174,-0.35035506,0.3437259,0.67291373,0.021387154,0.3459749,-0.29988286,0.7443526,0.0488894,0.7076005
ARHGAP5,-0.13771088,-0.075581364,-0.04463602,-0.10700339,-0.03653603,-0.10130669,-0.09050428,0.053012162,0.11317811,-0.1857253,0.07029313,-0.22203022,0.0023404534,-0.12528536,0.030676907
NFIA,-0.2974001,-0.22058156,-0.20605981,-0.4729881,0.00064454955,-0.28084943,-0.29023287,0.062181633,0.06075855,-0.53535527,0.03653087,-0.566226,-0.1578705,-0.26015642,-0.1903511
AC108488.1,0.24648699,0.5170334,0.20234413,0.8467595,0.27337915,0.0806004,-0.027419208,0.1597165,0.4829745,0.44775817,0.38435948,0.30716932,0.8535074,0.35461897,0.5577032
OAS1,-0.07799327,0.32018942,0.37100375,0.56305987,-0.044753578,0.28010732,-0.03447925,0.10729115,0.3633243,0.30010438,0.27175194,0.17977646,0.5733428,0.18692644,0.6233428
NR2F2,0.00034279766,0.40902856,0.2899237,0.33037418,0.11159945,0.07589913,-0.10656794,0.19622791,0.22525533,0.27336204,0.0442962,0.086359724,0.45363468,0.20993991,0.31779107
CYP1A1,-0.8015195,-0.65227216,-0.17986956,-1.0259955,-0.4587908,-0.059858568,-0.32588884,-0.1170514,-0.17334913,-0.9511021,-0.04985296,-0.8777705,-0.7055277,-0.5799142,-0.2478362
CCDC144NL-AS1,-0.13933158,0.18893097,0.12985377,0.087301895,0.03550059,-0.009076698,-0.17389162,0.13004334,0.20316869,-0.03382034,0.094386995,-0.16363218,0.26652712,0.04714042,0.21275476
SQOR,-0.068831645,-0.36002898,-0.24530718,-0.4933337,-0.1277134,-0.050976872,0.05557247,-0.18680121,-0.3505788,-0.2993033,-0.17715028,-0.12698013,-0.5480758,-0.17764635,-0.40156308
DAPP1,-0.47729647,-1.0052044,-0.51237154,-1.4884976,-0.5249737,0.2549917,0.028335642,-0.7533225,-1.2556622,-0.96766067,-0.4947189,-0.31894785,-1.6104879,-0.3816406,-1.0187507
AL136164.4,0.65399694,1.519103,0.90717345,1.9033551,0.5966689,0.270333,0.06079663,0.6096944,0.8941254,1.4940139,0.34395722,0.91312116,1.8577287,0.90923035,1.1698897
FGFR1,-0.21500859,-0.075136416,-0.123248294,-0.29823938,0.05054862,-0.1681759,-0.26426327,0.04207548,0.035484694,-0.35865688,0.025774939,-0.3946831,-0.04672433,-0.12018163,-0.1230934
ABTB2,-0.036237743,-0.35130376,-0.32215133,-0.6818819,-0.028812652,-0.07339726,-0.01905718,-0.24579626,-0.5622598,-0.35583794,-0.30878744,-0.13434498,-0.6724066,-0.10714064,-0.65006
C1orf64,0.18430147,0.3633279,0.47870454,0.77505535,-0.15303004,0.4726024,0.34726998,0.029819464,0.18021071,0.7408201,0.096795835,0.6657732,0.41678634,0.28859305,0.61107606
WIPF3,0.4844123,1.1460154,0.7051532,1.7406996,0.43210346,0.26016256,0.036688052,0.46564892,0.9509539,1.1307002,0.5481644,0.6870737,1.6677111,0.68157786,1.1893091
SMC4,0.052442748,0.22839844,0.19107449,0.28531665,0.05876344,0.0023201276,-0.007905659,0.18149978,0.23711626,0.21755274,0.058355775,0.059783667,0.32115865,0.079187475,0.25106823
HSPA8,0.005147982,0.108726084,0.16117825,0.26848835,-0.05481768,0.10552697,0.058028314,0.06370601,0.18091771,0.17767996,0.10168842,0.106966086,0.20866795,0.04456069,0.27410057
AC009446.1,-0.5717593,-0.66931623,-0.4383565,-0.8538347,-0.22860608,-0.38799912,-0.34674665,-0.05360802,0.058536682,-1.0710149,0.15930615,-1.0157853,-0.5149396,-0.6260761,-0.31454828
AP001269.4,-0.041835003,-0.19475804,-0.21547031,-0.008482229,-0.023507552,-0.029041791,-0.034524243,-0.15069678,0.06486375,-0.26274237,0.24632229,-0.10688572,-0.01599278,-0.059273653,0.036044743
FXYD3,-0.025205517,-0.40040356,-0.2685771,-0.47744322,-0.1410476,0.0041280366,0.109037146,-0.2562881,-0.42504355,-0.26709715,-0.18715978,-0.04003561,-0.6066885,-0.15867104,-0.4414106
PEAR1,-0.1743191,-0.852869,-0.7025615,-0.90178496,-0.17848878,-0.1877942,-0.009096187,-0.4907391,-0.58097386,-0.9040832,-0.033668842,-0.45601782,-0.97126067,-0.43384057,-0.7929297
UNG,-0.014496031,0.38827565,0.35130802,0.2910785,0.022661569,0.12502313,-0.025084479,0.21180633,0.16740711,0.35738158,-0.06684256,0.12356309,0.32616612,0.15753841,0.284759
AC004466.3,0.13838044,0.3652106,0.21726054,0.7682935,0.091373004,0.25154695,0.021437861,0.008937619,0.38691306,0.3517095,0.41190532,0.32705992,0.68785673,0.3283557,0.6129069
PTCH1,-0.52323234,-0.46590337,-0.34636444,-0.6820644,-0.11094032,-0.3294233,-0.4045203,-0.01361164,0.11473925,-0.90045995,0.18604901,-0.85348105,-0.27215374,-0.44375333,-0.1790493
BANK1,-0.26411635,-0.0864024,0.01744285,-0.13596793,-0.11168541,-0.020054609,-0.1478862,0.03538887,0.13430242,-0.26219323,0.12055652,-0.2817146,0.024226425,-0.12745887,0.14323404
AL662800.1,0.28647745,1.0604318,0.8817448,1.7016592,0.17440861,0.46872604,0.09525049,0.43047827,0.95263016,1.1355612,0.5443488,0.69878495,1.5768949,0.6155503,1.386994
MAN1A1,-0.32705688,-0.32931516,-0.12610994,-0.3278875,-0.21981987,-0.10211453,-0.092163004,-0.014713299,0.11139054,-0.42044023,0.113886915,-0.40402347,-0.21782495,-0.31705236,0.016599825
U47924.1,1.2635776,1.456433,1.0169756,2.5659692,0.4100028,0.95920706,0.81629837,0.09860968,0.37660158,2.2627265,0.29630387,2.0868948,1.6490436,1.2737077,1.2267195
EPHB6,-0.12065245,-0.22088054,-0.16755708,-0.32869127,-0.04692855,-0.08486413,-0.07029143,-0.074445225,-0.12937653,-0.27506292,-0.04432898,-0.21252052,-0.26603398,-0.15041193,-0.23323824
AC068580.4,-0.104452185,-0.119160496,-0.18638203,0.10561453,0.043983012,-0.14641845,-0.15130919,-0.0072416915,0.3130218,-0.30586186,0.376323,-0.2845849,0.2183569,-0.12443441,0.16321631
NEDD4L,-0.30959463,-0.50616306,-0.3742349,-0.7567797,-0.1397394,-0.21442273,-0.1666655,-0.15228088,-0.24595551,-0.66892576,-0.08756966,-0.5328087,-0.6000171,-0.36220175,-0.46605596
LINC00852,0.077006266,0.71909094,0.65365,1.0725673,0.066071495,0.22400676,0.020887526,0.4095322,0.7309587,0.70635676,0.33080712,0.2611181,1.0430638,0.26738203,0.9118045
RRH,0.37661603,0.83598435,0.65061104,1.7597626,0.16486585,-0.054847706,0.2507565,0.6540115,1.3007594,0.93369484,0.6832666,0.25505438,1.5126584,0.09760131,1.214831
FAM92A1P1,0.030262467,0.52755487,0.58273363,1.1131276,-0.05045191,0.41201246,0.05386097,0.20185107,0.7116294,0.59289324,0.5249829,0.3705061,1.0174277,0.31161496,1.0763795
ANXA3,0.027804295,0.31055626,0.19825308,0.06263915,0.13617362,0.09670324,-0.12338184,0.08648076,-0.084629156,0.18076228,-0.13513413,0.080285855,0.18236883,0.22524932,0.0016267378
AHNAK,-0.016784152,-0.14039713,-0.12138491,-0.2351769,-0.023792407,-0.04110522,0.005669937,-0.08076868,-0.18078846,-0.13795832,-0.0973904,-0.06636537,-0.24428965,-0.06621618,-0.22530247
TVP23A,-0.0667702,-0.31647384,-0.53262275,-0.18826528,0.24921258,-0.93012404,-0.29448405,0.36558455,0.6555675,-0.76114,0.41003886,-1.0306165,0.16698368,-0.62361264,-0.21144839
