,0
873,LPP
874,AL359715.2
875,LAMP3
876,LINC00630
877,SLC17A7
878,RIMS4
879,MAGEA4
880,RUNX2
881,MT-CO3
882,NLGN1
883,ZNF189
884,AC121761.2
885,AC093001.1
886,PRH1
887,AL512380.2
888,MCM6
889,ZBTB38
890,FAM83D
891,ZNF224
892,ANGPT1
893,SNPH
894,CAMK2B
895,RNF168
896,ZFP36L1
897,AP000240.1
898,SGK1
899,IGFBP5
900,AC011468.1
901,GNG11
902,INSM1
903,ERN1
904,TRIOBP
905,AL138724.1
906,DGKH
907,KLHL10
908,NAMPT
909,AC016027.1
910,E2F2
911,SPSB1
912,GNAI1
913,CITED4
914,AC131649.2
915,FIBCD1
916,AC053503.5
917,SCARA3
918,SUSD5
919,CEP55
920,AC024896.1
921,PIAS1
922,C17orf80
923,PAQR4
924,JARID2
925,ID2
926,MTHFD2
927,STK32B
928,VCX3B
929,FGFR1
930,KITLG
931,HIGD2B
932,TCP11L2
933,NCALD
934,CLIC6
935,ING1
936,AC099676.1
937,AR
938,AC074212.1
939,DMD
940,CEBPD
941,CLRN1-AS1
942,LCN2
943,EPHA4
944,AC073365.1
945,VTRNA1-3
946,C3
947,C9orf152
948,AURKA
949,CDK1
950,PLEKHG4B
951,PLK2
952,DLX5
953,STK26
954,CARMIL3
955,AC016590.3
956,UGT3A2
957,KIF13A
958,USP42
959,E2F7
960,AC144450.1
961,RNU6-2
962,SAMD9
963,TMEM74
964,KCNN4
965,VMP1
966,ADAMTSL2
967,TNFAIP8L1
968,KIF20A
969,MT-RNR1
970,AL161729.4
971,TPRG1
972,IGSF9B
973,AC010501.1
974,PCDHB3
975,AC021078.1
976,BACH2
977,TWIST1
978,SPRY2
979,AL136038.5
980,TOB2
981,AC013652.1
982,SLC19A2
983,NUSAP1
984,LINC02385
985,AL135744.1
986,BBX
987,RIPOR3
988,CMTM7
989,TGFA
990,BX322234.1
991,SLC4A7
992,CD14
993,FRYL
994,HELZ2
995,C3orf58
996,CARD14
997,CKAP2
998,SORBS2
999,AC005070.3
1000,LRIG3
1001,GPRIN3
1002,KANK2
1003,PLK5
1004,MYC
1005,AC093668.2
1006,HMGB2
1007,AC007966.1
1008,RPL5P14
1009,NEBL
1010,AC018558.2
1011,AMIGO2
1012,HCAR1
1013,H19
1014,SLC6A12
1015,INTS6
1016,CENPF
1017,GHRL
1018,PRAME
1019,IQGAP3
1020,PAQR8
1021,KCTD6
1022,AC104187.1
1023,ABAT
1024,VDR
1025,PPFIA4
1026,TNS1
1027,AL161729.1
1028,NOTCH2
1029,AL031985.4
1030,AC084824.5
1031,MYT1
1032,CDCA7L
1033,OR4D1
