,gene,00 vs 01_lfc_mean,00 vs 02_lfc_mean,00 vs 04_lfc_mean,00 vs 08_lfc_mean,00 vs 18_lfc_mean,01 vs 02_lfc_mean,01 vs 04_lfc_mean,01 vs 08_lfc_mean,01 vs 18_lfc_mean,02 vs 04_lfc_mean,02 vs 08_lfc_mean,02 vs 18_lfc_mean,04 vs 08_lfc_mean,04 vs 18_lfc_mean,08 vs 18_lfc_mean,00 vs 01_lfc_median,00 vs 02_lfc_median,00 vs 04_lfc_median,00 vs 08_lfc_median,00 vs 18_lfc_median,01 vs 02_lfc_median,01 vs 04_lfc_median,01 vs 08_lfc_median,01 vs 18_lfc_median,02 vs 04_lfc_median,02 vs 08_lfc_median,02 vs 18_lfc_median,04 vs 08_lfc_median,04 vs 18_lfc_median,08 vs 18_lfc_median,00 vs 01_lfc_std,00 vs 02_lfc_std,00 vs 04_lfc_std,00 vs 08_lfc_std,00 vs 18_lfc_std,01 vs 02_lfc_std,01 vs 04_lfc_std,01 vs 08_lfc_std,01 vs 18_lfc_std,02 vs 04_lfc_std,02 vs 08_lfc_std,02 vs 18_lfc_std,04 vs 08_lfc_std,04 vs 18_lfc_std,08 vs 18_lfc_std
AC087623.3,,0.049200863,-0.18165089,-0.07528209,-0.054111633,0.16107833,-0.24146572,-0.112598866,-0.0896718,0.11435606,0.11498324,0.15440159,0.3544626,0.037449054,0.25230438,0.22372249,0.07534075,-0.17001343,-0.05718279,-0.06526375,0.17093372,-0.2600522,-0.113361835,-0.10718489,0.10488224,0.1503601,0.16172981,0.38037205,0.035780907,0.2332015,0.23802567,0.7829342,0.76758206,0.8222561,0.80313975,0.7951967,0.810307,0.8304192,0.8198495,0.8251628,0.84149355,0.822838,0.8147932,0.84759915,0.82334906,0.81834304
AC016876.3,,-0.32168192,-0.43103105,-0.6816128,-0.7617517,-0.63572854,-0.104071155,-0.36903197,-0.4751587,-0.35761034,-0.27072576,-0.34326893,-0.27111965,-0.06896471,0.005254966,0.09654093,-0.3491087,-0.44795036,-0.7234793,-0.7940693,-0.66716385,-0.08237934,-0.3765893,-0.46951723,-0.35078526,-0.28549767,-0.36805725,-0.31147194,-0.06793213,-0.010849953,0.07698536,1.0428677,1.0484332,1.0445752,1.0618432,1.0549588,1.0419487,1.0498599,1.0765581,1.0629684,1.0246907,1.0458484,1.0169542,1.0391359,1.0542079,1.0637026
NMU,,0.26538464,-0.017919227,0.31378967,0.3399245,0.62747186,-0.27920136,0.124917604,0.12114653,0.33129075,0.3369371,0.35063514,0.57712495,0.027197227,0.28031987,0.25260013,0.25356722,-0.028820992,0.30945206,0.31923914,0.59686136,-0.30010605,0.1410141,0.118374825,0.32417822,0.32417393,0.33057642,0.5681877,0.010024071,0.25593472,0.24392843,1.1444883,1.1150631,1.137138,1.1742203,1.1536981,1.1773945,1.2177916,1.2543721,1.2233901,1.1733341,1.200647,1.1758901,1.2203193,1.2070131,1.2235186
KRCC1,,-0.011202152,-0.0073256576,0.11391504,0.19319467,0.30598685,0.0015272733,0.11228031,0.20057327,0.30840895,0.12191925,0.21936284,0.3353405,0.091848135,0.21449575,0.12755974,-0.0124669075,-0.012825489,0.113520145,0.19437027,0.29747725,0.0050787926,0.12395239,0.19073534,0.30639076,0.12384176,0.21321535,0.33531904,0.07657242,0.20529127,0.1343813,0.45387283,0.42969662,0.43104157,0.47100252,0.44139865,0.4508195,0.4417286,0.47666118,0.47149923,0.4238681,0.45481598,0.44359002,0.45638952,0.44393456,0.47132465
AL133467.1,,-0.38595682,-0.8827543,-1.0080491,-0.76077193,0.09601271,-0.49374756,-0.5880508,-0.39794013,0.4589824,-0.11816888,0.15217036,0.9299631,0.28743786,1.1017184,0.81512344,-0.3649702,-0.90728855,-1.0293264,-0.7984905,0.061966896,-0.5217552,-0.6184368,-0.47652054,0.40528774,-0.105275154,0.14847279,0.9419775,0.2857399,1.0974121,0.82992744,1.266399,1.2950509,1.3467363,1.4352351,1.3801037,1.323487,1.3847007,1.4734262,1.400516,1.3876952,1.4861273,1.4018579,1.5075257,1.4678994,1.5192136
CCDC71,,0.4361527,0.5137258,0.7256242,0.5850638,0.50618374,0.08550272,0.30370602,0.18200187,0.060833443,0.19433334,0.07151707,-0.03425864,-0.13053116,-0.23570618,-0.089143604,0.41579247,0.5130944,0.6909275,0.5426307,0.4668727,0.086799145,0.27961493,0.16462708,0.04371786,0.17530107,0.04473591,-0.062069416,-0.13987684,-0.22169876,-0.07156706,0.7234322,0.6965763,0.8114686,0.8105311,0.79146796,0.7732494,0.88073784,0.86349845,0.85922223,0.85633236,0.8821171,0.84422857,0.93831944,0.9100704,0.922916
SYT8,,0.09987035,0.11471582,-0.010082717,-0.24033028,-0.50741917,0.014752183,-0.11167865,-0.33058023,-0.60707396,-0.13051958,-0.34406212,-0.62978894,-0.23112687,-0.51367116,-0.27824953,0.108055115,0.13277483,0.0038180351,-0.23152208,-0.48839808,0.020719051,-0.110924244,-0.33251858,-0.60401106,-0.1355052,-0.34548998,-0.61987877,-0.24281788,-0.508934,-0.28240252,0.5211743,0.48300847,0.54685867,0.57168067,0.59041184,0.5238336,0.5986083,0.60594344,0.6379702,0.5691168,0.59853196,0.61079115,0.6468052,0.66731936,0.68766665
AL583856.2,,0.51830554,0.8279961,1.0147092,1.1479422,1.7537625,0.31316128,0.42399746,0.7042263,1.1676207,0.1249151,0.31173214,0.87036395,0.20404394,0.6813716,0.56258124,0.35521603,0.69807625,0.79806995,0.9613161,1.5689173,0.36015892,0.42543888,0.6169195,1.1432438,0.09607506,0.20822525,0.8357868,0.09178066,0.72158146,0.58572006,2.6703072,2.2989888,2.6325734,2.7077878,2.5891707,2.7638786,3.0028083,3.0378778,3.0027735,2.6880672,2.8687403,2.77933,3.1354997,3.00943,3.1446218
AC124016.1,,0.23330376,-0.018536158,0.1148272,0.020928714,-0.06597026,-0.25967547,-0.08974381,-0.20866543,-0.29037642,0.13854451,0.064328834,-0.039869722,-0.09380134,-0.16960831,-0.079058364,0.27095175,0.02777195,0.1381011,0.043416023,-0.0183959,-0.26064444,-0.10068703,-0.21587324,-0.30256844,0.15989399,0.063554764,-0.02576685,-0.080991745,-0.16505432,-0.08178043,0.9621052,0.9436798,1.0001116,0.9740805,0.9747017,0.8950772,0.93746316,0.91249377,0.90440565,0.93034023,0.90396243,0.8795937,0.93203574,0.9110782,0.89139944
AC009908.1,,0.057827618,-0.37370712,-0.57455355,-1.1364722,-1.2559924,-0.44997406,-0.6207569,-1.1794099,-1.322967,-0.19437663,-0.7080422,-0.8810151,-0.5396916,-0.6885166,-0.08650618,0.086359024,-0.36455154,-0.567482,-1.1975412,-1.2511292,-0.48597622,-0.6443405,-1.2440958,-1.3330622,-0.13362408,-0.74132156,-0.8757143,-0.6028099,-0.6706772,-0.092095375,1.9296591,1.7238072,2.0599597,2.0130563,1.9550045,1.9398168,2.169739,2.1017764,2.1287389,2.030456,2.025363,1.9466014,2.258624,2.2015886,2.2164462
AC003681.1,,0.09113752,-0.009232881,0.13330999,0.2903036,1.0213636,-0.1259809,-0.0134259015,0.24841592,0.8751292,0.12574038,0.35539398,1.0302047,0.21526395,0.87722695,0.70517546,0.09474659,0.014323235,0.04892063,0.26260567,1.0292978,-0.11829758,-0.052062035,0.21619987,0.9246769,0.045477867,0.34960938,1.0486479,0.22227287,0.9514818,0.7411308,1.6890285,1.5187855,1.710246,1.7819617,1.7172779,1.664514,1.8172176,1.8628323,1.874555,1.6778396,1.7741811,1.7257917,1.949082,1.8768624,1.9557925
AL049840.5,,0.064755514,0.14256157,-0.105857104,-0.47060737,-0.5001416,0.07248805,-0.20304887,-0.52107537,-0.57596475,-0.24511626,-0.54736495,-0.5984618,-0.3455109,-0.40316334,-0.025188824,0.15540981,0.17849636,-0.053998947,-0.46628666,-0.4538164,0.013563156,-0.23292923,-0.5954809,-0.5957165,-0.2727747,-0.55554295,-0.5677738,-0.3457489,-0.36441517,-0.013820648,1.750211,1.5524777,1.6324899,1.6342977,1.6282446,1.6974338,1.7810786,1.7814635,1.8049356,1.6219964,1.6411858,1.6498456,1.7266219,1.754315,1.7693806
MARCH2,,0.1102438,0.012936781,0.26042175,0.2802294,0.36721954,-0.10978469,0.15877742,0.17808765,0.24057446,0.25336736,0.2876322,0.35558128,0.02108192,0.1133533,0.098534904,0.10835552,0.011322975,0.25267553,0.2715912,0.34796572,-0.121929646,0.15731859,0.17354679,0.23881388,0.2568612,0.2805853,0.34221077,0.0194664,0.11086607,0.09466028,0.6346146,0.59495026,0.61906594,0.64159226,0.66859853,0.6337038,0.63859695,0.6713698,0.69951594,0.6083242,0.64022005,0.64876515,0.6555408,0.66056615,0.68000156
CSRNP2,,-0.008072834,0.024194239,-0.12695703,-0.5396311,-0.9989682,0.034836657,-0.11658713,-0.54799134,-0.9986762,-0.16232413,-0.5816755,-1.0437821,-0.43630928,-0.8950781,-0.44412535,-0.030576706,0.033604145,-0.14300966,-0.56267023,-0.99432707,0.068095684,-0.1039567,-0.5400114,-0.9693403,-0.18158722,-0.60432196,-1.0379834,-0.44515038,-0.86913157,-0.4328332,0.6065654,0.5809452,0.59331095,0.6371829,0.7127742,0.60753214,0.6250705,0.6677684,0.7421832,0.60595477,0.6514595,0.70006067,0.65801835,0.7263802,0.7562734
SUSD5,,-0.4589081,-0.83432674,-1.272619,-1.3548611,-1.2767998,-0.37670612,-0.8179423,-0.9426118,-0.7853036,-0.42803097,-0.50043696,-0.3947192,-0.07043625,0.045624148,0.10325863,-0.42275143,-0.83217764,-1.2568779,-1.387898,-1.3089008,-0.40210152,-0.81681013,-0.96060133,-0.8268795,-0.38420248,-0.5115676,-0.41169167,-0.10127115,0.019640923,0.10004234,1.2307177,1.1832259,1.2710919,1.262941,1.2533592,1.27439,1.3371994,1.3669324,1.3115412,1.3105471,1.341422,1.271187,1.3601378,1.3443655,1.3334237
PLA2G10,,0.47535482,0.20513958,0.6037029,0.2960678,0.5169428,-0.27355686,0.20344047,-0.12503122,0.056764588,0.4253144,0.15012711,0.30941108,-0.29317757,-0.07269753,0.22462061,0.4376192,0.22182369,0.57585526,0.29557514,0.44060135,-0.25225925,0.18976593,-0.1539526,0.03292179,0.4169073,0.111623764,0.25980473,-0.2988119,-0.1308012,0.2362442,1.8387616,1.8127383,1.8874278,1.9326204,1.975787,1.9150401,1.999757,2.0310245,2.0421124,1.9774264,2.022023,1.9966673,2.028078,2.029004,2.0671206
EIF2AK2,,-0.31248388,-0.23769403,-0.2619402,0.088430464,0.43038818,0.07188381,0.012591145,0.37276518,0.70644665,-0.039360125,0.31355602,0.664415,0.3611638,0.68848866,0.3357215,-0.3393221,-0.2481041,-0.32464504,0.06261301,0.4245634,0.08406401,0.0013189316,0.364367,0.72965956,-0.07503128,0.28567648,0.6657586,0.37145185,0.7142868,0.36990118,0.88167936,0.8490683,0.8806373,0.91518956,0.9371336,0.8398564,0.89093435,0.898395,0.9458871,0.84394956,0.86463493,0.8978839,0.8786929,0.9277228,0.9514251
SLC29A3,,0.27446905,0.5035357,0.87372744,0.7036908,0.34986767,0.21445926,0.5770812,0.42179093,0.0814914,0.36981508,0.22093706,-0.095743544,-0.18056802,-0.4914058,-0.29546356,0.27661133,0.5296798,0.8638067,0.7179718,0.3253069,0.21718931,0.5628009,0.42123556,0.079030514,0.3441105,0.20213032,-0.1372962,-0.17417812,-0.4696436,-0.29630375,0.93078023,0.9020507,1.0114774,1.0304631,0.9404912,0.95026207,1.0427381,1.0593793,0.9847375,1.0216945,1.0211401,0.9833913,1.1178573,1.0786266,1.0826523
SIRT5,,0.07144584,0.15065533,0.28110796,0.28336564,0.26223868,0.08279724,0.21506728,0.20893316,0.19428615,0.13006435,0.12828912,0.10235756,0.0012006952,-0.01991904,-0.017649492,0.08575392,0.15269232,0.29121113,0.29089928,0.2616887,0.079414845,0.20984411,0.20176792,0.17696714,0.1309166,0.12647629,0.09923124,0.004357815,-0.022231579,-0.021417141,0.2578207,0.25102958,0.27750722,0.2926508,0.26994842,0.28377077,0.30491784,0.31245196,0.3087237,0.29345906,0.3078614,0.30216378,0.33120883,0.31674528,0.32953596
SCARF1,,0.56666785,0.91456085,1.0568472,1.143847,0.96233714,0.34535772,0.42779043,0.6170033,0.33102953,0.06958713,0.16502437,-0.025070267,0.10969754,-0.18553543,-0.23382725,0.30009747,0.8135824,0.8252125,0.8352804,0.69074154,0.46342945,0.5004606,0.54311085,0.33626175,-0.0029382706,0.037740707,-0.13427734,0.03565502,-0.2726574,-0.20616913,2.7077916,2.3723464,2.533272,2.6760964,2.5928683,2.9064908,3.0614405,3.078441,3.0889802,2.7508035,2.970449,2.8915515,3.1085887,2.9923742,3.149963
AC092910.1,,0.55195796,0.29868236,0.64404637,0.6099288,1.1208832,-0.2448283,0.17346601,0.13623324,0.5378995,0.3513567,0.34058693,0.72216433,-0.005885288,0.41138574,0.428871,0.585248,0.3298664,0.6569586,0.6558628,1.1108818,-0.2776308,0.18234253,0.17155361,0.5550556,0.32926655,0.35191727,0.7645302,-0.004278183,0.41315174,0.4152851,2.071245,1.9775369,2.1023464,2.1296482,2.1254556,2.033382,2.2265735,2.176936,2.213985,2.1220195,2.1377442,2.0775704,2.1859221,2.1972558,2.177265
AC087190.2,,0.0663619,0.10083771,0.15672195,0.10589956,0.072537355,0.043094497,0.09826456,0.04801973,-0.019883426,0.05035234,0.0074377744,-0.072227076,-0.04012457,-0.13160844,-0.04295763,0.07265663,0.09299946,0.12175274,0.093592644,0.063220024,0.03419876,0.06728172,0.022073746,-0.0319767,0.032629967,0.002327919,-0.081897736,-0.021215439,-0.12766743,-0.042477608,1.1700875,1.0347273,1.0507722,1.0844302,1.08698,1.1221476,1.1396989,1.1578053,1.1817323,1.0104635,1.05413,1.0748672,1.0946816,1.1172042,1.158269
GFOD1,,-0.52905524,-0.79307157,-0.9765051,-0.8387987,-0.58174825,-0.27904806,-0.47182506,-0.34143543,-0.074233584,-0.17984982,-0.034335922,0.2542048,0.14252794,0.41436738,0.27379963,-0.549829,-0.8004966,-0.97329044,-0.86715126,-0.5896325,-0.2711773,-0.4808421,-0.3533268,-0.07224941,-0.19778109,-0.09049797,0.21922112,0.1282239,0.40697193,0.27331018,0.88500464,0.836672,0.86960155,0.89168715,0.8945452,0.8367653,0.8851681,0.86744636,0.9070247,0.812835,0.84039766,0.83634406,0.8545041,0.8705476,0.87916845
OAT,,0.07175227,0.12086911,0.18205106,0.24329004,0.27881998,0.049257286,0.1079281,0.18852927,0.19900957,0.056810793,0.118641965,0.1591876,0.06531264,0.08715614,0.028734555,0.046295166,0.107244015,0.1653719,0.22022724,0.25503922,0.06232214,0.11457777,0.18172312,0.18918514,0.051789284,0.102971554,0.14129162,0.057179928,0.070084095,0.028841972,0.4075068,0.38445714,0.40480694,0.4375232,0.44287106,0.4381488,0.4561524,0.47913143,0.48769388,0.4330974,0.47575212,0.47734898,0.48423633,0.49670723,0.520639
LINC02361,,0.20695783,0.07633772,0.33624288,0.39337716,0.92230606,-0.13850972,0.14614792,0.2433209,0.70485955,0.2766469,0.3591917,0.859146,0.08603455,0.57985073,0.5136045,0.23056173,0.109874725,0.34265137,0.4440527,0.94281197,-0.12618256,0.16258335,0.21799374,0.7108755,0.26410007,0.33437634,0.8434582,0.0843811,0.6303263,0.51610184,1.5171287,1.3984873,1.5386704,1.5386025,1.5687258,1.4739332,1.6135807,1.596232,1.6519145,1.513373,1.5400168,1.5398881,1.5999413,1.6418221,1.6565121
LGR4,,-0.043422174,0.005124552,-0.055974364,-0.016442502,0.03876573,0.053510413,-0.029386051,0.032271367,0.058385547,-0.07551341,-0.033114977,0.027372958,0.048079845,0.07863841,0.051187098,-0.06819868,0.006784916,-0.08896208,-0.042532444,0.022815228,0.07049036,-0.014588356,0.027704716,0.05970192,-0.09123325,-0.04182768,0.0022492409,0.053792477,0.078614235,0.05883217,0.70434034,0.65363675,0.6678516,0.7149294,0.70336974,0.720842,0.7360637,0.7707331,0.7620219,0.69691855,0.7337058,0.7282142,0.76363367,0.75129646,0.79913497
rnNR3C1,,0.0028218378,0.037654195,-0.1113765,-0.39420694,-0.47459108,0.04964487,-0.10826305,-0.4092859,-0.5024542,-0.1676654,-0.4378506,-0.5563257,-0.27930713,-0.38964903,-0.090030886,-0.024241924,0.03474474,-0.13173532,-0.41395283,-0.49196386,0.052742004,-0.11194801,-0.40134048,-0.49042845,-0.1668005,-0.44369268,-0.56915045,-0.28619337,-0.38102198,-0.11155176,0.688557,0.6492755,0.67262936,0.7350783,0.76979756,0.63501453,0.6659436,0.728532,0.75668675,0.63044703,0.70484793,0.71716887,0.70578516,0.7536152,0.805118
WTIP,,-0.09319287,0.03234628,0.117196634,0.28994718,0.42061874,0.1150244,0.15560478,0.3459195,0.50858045,0.074099496,0.27189317,0.41340372,0.18904193,0.33378235,0.1410898,-0.12095404,0.03445816,0.121655464,0.279006,0.41078568,0.123952866,0.14216614,0.33777905,0.52913284,0.08771467,0.25481176,0.40921164,0.17098951,0.33514118,0.13903475,0.8355055,0.785769,0.8027158,0.8419153,0.8193685,0.86086565,0.8638258,0.9077102,0.8902437,0.81035614,0.8469915,0.8223604,0.8645025,0.83953434,0.8653682
S100A6,,0.24622542,0.24308941,0.4352768,0.4162516,0.4061819,-0.002253306,0.21082775,0.20071189,0.16558202,0.19862235,0.1827999,0.16452453,-0.019159712,-0.02802126,-0.015868487,0.26282406,0.25071192,0.43089294,0.42630863,0.42293692,-0.020838737,0.20876074,0.20606089,0.15906382,0.19061661,0.19742203,0.16189432,-0.016616344,-0.020670414,-0.015760422,0.6248251,0.5935045,0.6527902,0.63583994,0.6598459,0.6115744,0.67861617,0.64637935,0.6738976,0.6460198,0.628316,0.6400752,0.6553123,0.6848613,0.65576273
AC004982.1,,-0.044023808,-0.07374115,0.10139923,-0.052324712,-0.670746,-0.055451892,0.14375176,-0.06548216,-0.5952039,0.18980338,0.027050793,-0.52939874,-0.18330817,-0.730365,-0.559473,-0.050925255,-0.07504749,0.112277985,-0.07945919,-0.6632986,-0.0584507,0.14345789,-0.07281399,-0.58286285,0.19258308,0.008634567,-0.53987503,-0.1716528,-0.71346617,-0.5452652,1.1581775,1.0982658,1.1976205,1.1665906,1.100032,1.1154569,1.1787823,1.1869938,1.0983183,1.1029195,1.0912472,1.0104836,1.1928018,1.1085857,1.0814121
RASL11B,,0.11713675,0.16890123,0.42199445,0.19239552,-0.21547204,0.023468053,0.2845929,0.072204866,-0.33970964,0.2486817,0.039825246,-0.34047005,-0.24832581,-0.6245547,-0.36821017,0.11925745,0.18592978,0.39909506,0.18404913,-0.26468372,0.031102657,0.26346207,0.039606094,-0.34965372,0.21926594,-0.00840807,-0.37091494,-0.24918318,-0.5907979,-0.3526554,1.0182029,0.9866528,1.118339,1.1114823,1.0660583,1.0409418,1.1624514,1.1414107,1.1181792,1.113092,1.1114028,1.0761262,1.2175717,1.1968437,1.1754019
AP000892.2,,0.036690608,-0.10959212,0.23552491,0.68123525,1.16214,-0.1585523,0.20103857,0.6288851,1.1090424,0.34485275,0.79828966,1.2857388,0.4714842,0.9469251,0.4726769,0.04397869,-0.11018562,0.2314539,0.6425686,1.1035156,-0.15111923,0.20902157,0.6007519,1.0479183,0.33796024,0.77896786,1.229249,0.44133854,0.9020052,0.45158195,0.8049991,0.75263923,0.8647317,0.91597885,1.0151153,0.78167033,0.8637662,0.91043794,1.0409834,0.81596386,0.8972487,1.0028644,0.9746157,1.054274,1.1076474
LINGO4,,0.07460331,0.50990653,0.27141795,-0.36892292,-0.77047366,0.46210122,0.16761988,-0.47815192,-0.8390208,-0.25063947,-0.8523509,-1.2899761,-0.6482097,-1.0714732,-0.3818248,0.14055252,0.55772877,0.27561665,-0.38091564,-0.7900562,0.454916,0.08924389,-0.56082535,-0.887537,-0.2720585,-0.8752403,-1.3496408,-0.6865349,-1.1181326,-0.3915224,1.9834721,1.7666949,1.73489,1.778235,1.7092289,1.9490145,1.9478238,1.9624178,1.9502233,1.783062,1.7861532,1.8048972,1.8097755,1.7793998,1.8027437
PAWR,,-0.018959614,0.037483256,-0.019038817,-0.042504277,-0.15983598,0.054168127,-0.016923452,-0.030021753,-0.14207792,-0.063794546,-0.08739282,-0.1867414,-0.022696858,-0.1373947,-0.110279955,-0.028803349,0.032077312,-0.028113365,-0.056381702,-0.16381025,0.06304121,-0.017364502,-0.032949924,-0.13816929,-0.07068777,-0.09357834,-0.18956661,-0.027114391,-0.13234043,-0.11216116,0.3576651,0.33369565,0.34921923,0.3731755,0.3702561,0.3704042,0.3905209,0.40375748,0.40536743,0.36456397,0.38777113,0.38000685,0.4057121,0.39561337,0.4162582
MALAT1,,-0.10256975,0.014755536,-0.22406545,-0.26192147,-0.2288052,0.12967688,-0.14242165,-0.16066547,-0.12108928,-0.25341508,-0.29268697,-0.24847402,-0.03207709,-0.020180942,0.018173156,-0.120491505,0.021927834,-0.23860121,-0.27535295,-0.23894644,0.14324188,-0.14233589,-0.15852642,-0.13182354,-0.27446413,-0.2908678,-0.24862146,-0.030620575,-0.021660328,0.022349358,0.74521166,0.7053979,0.6895791,0.70948917,0.7330696,0.7313092,0.70919794,0.7455821,0.759964,0.6887266,0.7214737,0.7321131,0.7200772,0.72700304,0.750943
CDS1,,-0.118151754,0.0356472,-0.042507757,0.092830665,0.18112946,0.1565884,0.039132297,0.19750725,0.28554845,-0.0973596,0.03983891,0.16162144,0.14110826,0.22789529,0.08721928,-0.12667942,0.031454563,-0.057738304,0.078136444,0.19698954,0.13964462,0.0360384,0.18964815,0.2905059,-0.11720085,0.03487587,0.16928005,0.15084696,0.23752308,0.08609676,0.75891036,0.73156136,0.72671574,0.7649944,0.7810158,0.73235816,0.7436711,0.76610696,0.7819818,0.71527624,0.73498017,0.75961506,0.7503924,0.7618642,0.79491633
CDC20,,0.2599342,0.0436583,0.22893772,0.28964505,0.38240236,-0.2015502,0.057176176,0.04370405,0.121555835,0.18503965,0.20585063,0.25987786,0.04304522,0.118296996,0.041726165,0.20802593,0.029581547,0.23158169,0.23311949,0.35797024,-0.16741085,0.088201046,0.018021584,0.13043642,0.18207026,0.15277672,0.27910852,0.0071821213,0.11109972,0.08357334,1.3475403,1.2764152,1.2754711,1.3869542,1.2736533,1.3617812,1.3678815,1.459973,1.381274,1.3041334,1.3821099,1.3280785,1.4200464,1.3610786,1.4411404
GNMT,,-0.88116467,-1.804833,-2.6938903,-3.6633704,-4.225965,-0.9617524,-1.7795976,-2.8171372,-3.3102527,-0.8549588,-1.8253578,-2.4157417,-1.0123471,-1.5439839,-0.5252525,-0.8186779,-1.79667,-2.713313,-3.7886138,-4.3493905,-0.9836035,-1.8211131,-2.9775038,-3.4415483,-0.9124794,-1.9655604,-2.5515728,-1.0708919,-1.6282005,-0.55149555,1.3529518,1.3513114,1.3871068,1.4115564,1.5226203,1.4117348,1.4276819,1.4837427,1.581598,1.4511044,1.49747,1.5526307,1.5166448,1.6135646,1.6837231
AC007969.2,,0.36158058,0.43079174,0.87770146,0.83506805,0.8560045,0.09693956,0.5689272,0.44918847,0.48461792,0.45034185,0.42495045,0.3669727,-0.034530304,-0.034661815,0.04253581,0.38118458,0.43792248,0.8869438,0.79625416,0.8340025,0.09834671,0.5501671,0.4392557,0.43319893,0.50930786,0.4163351,0.3347149,-0.043393135,-0.054309845,0.04807377,1.4698058,1.4358996,1.5216316,1.5865256,1.5009019,1.4713933,1.5267158,1.5885704,1.5227984,1.4693921,1.5425562,1.475164,1.6095071,1.547809,1.5965346
PPL,,-0.09877714,-0.13193378,-0.40624404,-0.8269997,-1.2766229,-0.040952716,-0.3268281,-0.7440184,-1.1663817,-0.27556676,-0.6841027,-1.1237073,-0.43389854,-0.8665299,-0.42377916,-0.10638666,-0.13323641,-0.39835215,-0.82110596,-1.2484045,-0.031683445,-0.31048346,-0.73010635,-1.1351023,-0.27417994,-0.6845412,-1.107388,-0.43539906,-0.8557248,-0.42346573,0.49188432,0.47875005,0.52833766,0.56654906,0.6240709,0.50195545,0.5493964,0.5925593,0.64726233,0.53771955,0.5877008,0.62054354,0.62517136,0.6668698,0.69958884
SNORA51,,-0.13898322,0.1285655,-0.0363294,-0.02012066,-0.371685,0.26268494,0.035850078,0.034334235,-0.22210272,-0.18221639,-0.15177098,-0.4336644,0.008757392,-0.30839318,-0.320545,-0.17846966,0.11269379,-0.0703907,-0.061580658,-0.4174986,0.33725643,0.046144485,0.019138336,-0.20454693,-0.20312405,-0.18691349,-0.4587431,-0.0024681091,-0.29113865,-0.31344986,1.5807308,1.4899129,1.4742349,1.4957849,1.53522,1.6033741,1.6008793,1.6216065,1.6340257,1.5078685,1.4773785,1.5399363,1.4981052,1.5276638,1.5363085
PKD1L1,,-0.13861957,-0.07835926,0.12804994,0.4640714,0.8503738,0.059283532,0.23346941,0.56118983,0.9766866,0.20397411,0.56746083,0.9518223,0.35731554,0.75894827,0.414417,-0.12144947,-0.103899956,0.13764048,0.46839714,0.83022594,0.044709682,0.25878096,0.57486725,0.9739194,0.23839617,0.5748215,0.9572873,0.36909437,0.73294497,0.4108982,1.1747516,1.090787,1.1409622,1.2393875,1.2452325,1.1843262,1.2280313,1.2747825,1.3271031,1.1308639,1.2070327,1.2275237,1.2441496,1.2856635,1.3344992
CKAP5,,0.033045925,0.0847842,0.07260236,0.17750058,0.23065197,0.060833238,0.046171013,0.150757,0.19442327,-0.025634665,0.065737635,0.11301166,0.1068162,0.13875414,0.024822367,0.026886463,0.088281155,0.05270958,0.19094086,0.24558973,0.06728697,0.030833721,0.1642499,0.20632601,-0.040748596,0.07249498,0.120919704,0.12495041,0.15185404,0.0091257095,0.4766367,0.4547154,0.46006963,0.5040087,0.46747673,0.48837748,0.49318373,0.5284156,0.49572757,0.4727702,0.5148905,0.47090825,0.51663285,0.48013166,0.5150481
HMGCS1,,-0.04321167,-0.0065307165,-0.034726493,-0.046582345,-0.09826466,0.038379442,-3.690529e-06,-0.007011067,-0.04720519,-0.029128037,-0.044052385,-0.0755616,-0.013929167,-0.056312468,-0.038850326,-0.045922756,-0.012709141,-0.033913612,-0.04565811,-0.09193277,0.039666653,-0.000114917755,-0.0040221214,-0.048478603,-0.031388283,-0.03707266,-0.078427315,-0.009369373,-0.05305195,-0.042462826,0.30639428,0.2857257,0.29487172,0.30531356,0.30196953,0.2971757,0.30901313,0.31740633,0.31196007,0.2932376,0.29943693,0.29533717,0.31451985,0.3117378,0.3181248
RASIP1,,0.036392394,-0.42249092,-0.24177594,-0.03702369,0.6195271,-0.47394517,-0.2494978,-0.055003308,0.5712033,0.1791462,0.39789253,1.049857,0.23854609,0.8799507,0.6434977,0.033680916,-0.43399143,-0.26424885,-0.048927307,0.6083317,-0.50315857,-0.2814827,-0.07486725,0.5351505,0.16880798,0.3947134,1.0437908,0.23620605,0.86266994,0.622077,1.3355083,1.2969103,1.3900268,1.4240259,1.4231771,1.3859552,1.4449234,1.4682178,1.4728438,1.4414263,1.4847502,1.4503582,1.523315,1.4645321,1.5030956
TNFSF10,,0.36845088,0.4719519,0.92309934,0.9709382,1.2106155,0.13777712,0.6043607,0.59917885,0.81385416,0.4525146,0.5209741,0.6770502,0.063164316,0.27260616,0.25637475,0.41643715,0.47128487,0.9194274,0.9381652,1.2057929,0.10240984,0.6044469,0.5782404,0.76142645,0.50824785,0.48709488,0.6348367,0.06433964,0.2700529,0.28177547,1.3453618,1.2839267,1.3421278,1.4135041,1.341346,1.3257823,1.3704847,1.4332596,1.3789046,1.2905105,1.3689164,1.3097341,1.424728,1.3614022,1.4129864
